N	4gram	Medvedev_F_1	Hudozhes
1	в то же время	8	6
2	в том числе и	1	2
3	и в то же	1	2
4	того или иного жанра	1	2
5	в том отношении что	1	1
6	в более или менее	1	1
7	в их отношении к	1	1
8	в отдельности и в	1	1
9	бы то ни было	1	1
10	с этой точки зрения	1	1
11	произведения искусства в его	1	1
12	соединении с художественной идеологемой	1	1
13	химическом соединении с художественной	2	1
14	этом смысле можно говорить	1	1
15	и глубже чем это	1	1
16	в этом смысле можно	1	1
17	в химическом соединении с	2	1
18	смысле можно говорить о	1	1
