N	3gram	Tiupa_Disk_1	FransuaR
1	то же время	4	6
2	в то же	3	6
3	до сих пор	1	4
4	в связи с	1	4
5	большей или меньшей	2	3
6	на самом деле	1	3
7	в том числе	2	3
8	как и все	1	3
9	в отличие от	4	3
10	и прежде всего	1	3
11	по отношению к	9	2
12	в этом отношении	1	2
13	том числе и	2	2
14	в значительной степени	2	2
15	или меньшей степени	1	2
16	в большей или	1	2
17	не может быть	3	2
18	до наших дней	1	2
19	в данном случае	2	2
20	о том что	5	2
21	той или иной	3	2
22	можно сказать что	2	2
23	может быть в	1	2
24	как и в	1	2
25	как мы видели	1	2
26	на том что	1	1
27	имея в виду	1	1
28	нет и не	1	1
29	и вообще в	1	1
30	в основе своей	2	1
31	или во всяком	1	1
32	том что в	2	1
33	прежде всего в	1	1
34	дело в том	1	1
35	в виду как	1	1
36	и в особенности	2	1
37	подобно тому как	2	1
38	также и в	1	1
39	имеют дело с	1	1
40	свидетельствует о том	1	1
41	о том как	1	1
42	в этом случае	1	1
43	как раз и	1	1
44	с точки зрения	1	1
45	и не может	1	1
46	хотя бы и	1	1
47	в строгом смысле	1	1
48	в своей основе	1	1
49	в тех или	1	1
50	и далеко не	1	1
51	в xvii веке	1	1
52	в том чтобы	2	1
53	и тем же	1	1
54	еще и в	1	1
55	дело не с	1	1
56	обратим особое внимание	1	1
57	в xix веке	1	1
58	то есть все	1	1
59	до нас в	1	1
60	как будто бы	1	1
61	отличие от современной	1	1
62	поэтому они не	1	1
63	с большей или	1	1
64	во всяком случае	1	1
65	и т.п но	3	1
66	для правильного понимания	1	1
67	с другой стороны	3	1
68	может быть названа	1	1
69	одним и тем	1	1
70	особое внимание на	1	1
71	в свое время	1	1
72	во всех этих	1	1
73	только то что	1	1
74	так например в	1	1
75	заключается в том	1	1
76	в свою очередь	3	1
77	это и есть	1	1
78	с самого начала	1	1
79	отношения к этому	1	1
80	в новое время	1	1
81	сказочного и реального	1	1
82	тех или иных	1	1
83	но все же	1	1
84	и др на	1	1
85	в том что	13	1
86	и в другом	1	1
