N	2gram	Vinokur_Ku_2	Poddanst
1	не только	20	17
2	и в	23	14
3	и не	16	12
4	в области	11	11
5	в этом	18	10
6	в отношении	2	10
7	в качестве	8	9
8	но в	11	9
9	то же	6	9
10	в том	19	9
11	в пределах	4	8
12	хотя бы	9	8
13	только в	5	7
14	в то	4	7
15	же время	3	7
16	в ней	3	6
17	было бы	15	6
18	но и	7	6
19	быть может	1	6
20	в которых	2	5
21	с другой	8	5
22	может быть	15	5
23	и пр	8	5
24	не в	8	5
25	и о	4	5
26	о в	1	5
27	если бы	12	4
28	тех кто	1	4
29	а также	3	4
30	россии и	1	4
31	в своем	2	4
32	и к	1	4
33	как бы	4	4
34	и если	2	4
35	но также	4	4
36	том что	11	4
37	не может	9	4
38	и потому	2	4
39	в котором	1	4
40	по себе	10	4
41	что в	10	4
42	мы должны	2	4
43	же в	3	4
44	а в	3	4
45	то что	9	4
46	и т	39	3
47	мы не	1	3
48	д а	1	3
49	сводится к	3	3
50	столь же	1	3
51	между тем	6	3
52	это не	6	3
53	вслед за	1	3
54	хотя и	4	3
55	и как	1	3
56	тот же	5	3
57	с ними	2	3
58	с одной	2	3
59	в себе	1	3
60	в нем	4	3
61	сами по	1	3
62	для того	9	3
63	заключается в	2	3
64	прежде всего	8	3
65	одной стороны	1	3
66	с тем	2	3
67	что мы	6	3
68	и без	1	3
69	с точки	8	3
70	но не	6	3
71	она есть	1	3
72	наряду с	1	3
73	могут быть	4	3
74	т е	22	3
75	тем самым	2	3
76	потому что	25	3
77	точки зрения	14	3
78	в настоящий	1	3
79	и это	3	2
80	отношения к	2	2
81	в сфере	3	2
82	в ее	1	2
83	общекультурное значение	1	2
84	и есть	2	2
85	есть не	1	2
86	по сравнению	2	2
87	одних и	1	2
88	есть нечто	1	2
89	никак не	3	2
90	время в	1	2
91	в значительной	1	2
92	говорить о	4	2
93	в общем	1	2
94	со стороны	4	2
95	отнюдь не	4	2
96	в русском	10	2
97	с этим	3	2
98	того что	3	2
99	помнить что	1	2
100	и весьма	1	2
101	к чему	1	2
102	есть в	3	2
103	главным образом	3	2
104	в его	5	2
105	в виде	1	2
106	в силу	7	2
107	и вот	5	2
108	как раз	3	2
109	в последние	1	2
110	в статье	3	2
111	и с	7	2
112	м и	1	2
113	именно в	3	2
114	и тем	5	2
115	в них	4	2
116	не было	4	2
117	а не	10	2
118	в ряду	1	2
119	должно быть	4	2
120	нужно было	1	2
121	более чем	1	2
122	суждений о	1	2
123	в европе	1	2
124	знать что	1	2
125	творчества и	1	2
126	не менее	7	2
127	все это	5	2
128	между прочим	2	2
129	одна из	1	2
130	слова но	1	2
131	да и	6	2
132	тем более	1	2
133	для нас	4	2
134	может и	1	2
135	в частности	2	2
136	с о	1	2
137	так называемые	2	2
138	как на	1	2
139	не исчезнет	1	1
140	с утверждением	1	1
141	также что	2	1
142	также и	5	1
143	глубоко в	1	1
144	же как	2	1
145	не очень	1	1
146	и то	5	1
147	тем и	1	1
148	на основе	1	1
149	же судьба	1	1
150	в сочетание	1	1
151	раньше в	1	1
152	тем же	2	1
153	в иных	2	1
154	в себя	1	1
155	смысл этого	1	1
156	по преимуществу	2	1
157	идет речь	1	1
158	уяснить себе	1	1
159	должна быть	5	1
160	и утверждается	1	1
161	поскольку она	1	1
162	те же	3	1
163	не с	1	1
164	по природе	1	1
165	с чрезвычайно	1	1
166	стороны есть	1	1
167	что дело	1	1
168	в эпоху	1	1
169	для этого	3	1
170	внимание к	1	1
171	почти невозможно	1	1
172	тем чем	1	1
173	находится в	1	1
174	пор пока	1	1
175	оно есть	1	1
176	и несравненно	1	1
177	выразилось в	1	1
