N	3gram	Bakhtin_sl_1	Analitik
1	в том что	1	7
2	с другой стороны	4	5
3	о том что	1	5
4	по крайней мере	1	4
5	в свою очередь	2	4
6	как и в	1	4
7	до известной степени	2	3
8	в данном случае	3	3
9	то же время	12	3
10	не только не	1	3
11	той или иной	9	3
12	в то же	12	3
13	в этом отношении	1	3
14	дело в том	1	2
15	с точки зрения	8	2
16	одной и той	1	2
17	в отличие от	1	2
18	в значительной степени	1	2
19	с одной стороны	4	2
20	не в самом	1	2
21	тем не менее	1	2
22	во всяком случае	5	2
23	в свое время	1	2
24	и прежде всего	1	2
25	можно сказать что	1	2
26	и той же	1	2
27	и в сущности	2	1
28	а между тем	2	1
29	в той или	9	1
30	то у нас	1	1
31	не только по	1	1
32	то есть не	1	1
33	в контексте целого	1	1
34	как бы не	1	1
35	и так сказать	1	1
36	и в особенности	4	1
37	в этом случае	2	1
38	пор совершенно не	1	1
39	до сих пор	2	1
40	в зависимости от	3	1
41	хотя бы и	3	1
42	же время в	1	1
43	одна из существеннейших	1	1
44	таким образом в	3	1
45	и в эту	1	1
46	со всех сторон	1	1
47	они могут быть	6	1
48	один из существеннейших	1	1
49	дело не с	2	1
50	не только в	2	1
51	в один ряд	1	1
52	так и в	3	1
53	не столько в	1	1
54	в известном смысле	2	1
55	не могут быть	2	1
56	а не как	2	1
57	так или иначе	1	1
58	так и на	1	1
59	и не могла	1	1
60	для того чтобы	1	1
61	высказывания и в	1	1
62	того или иного	2	1
63	не может быть	1	1
64	но с другой	1	1
65	в эстетический объект	1	1
66	не должно быть	1	1
67	в первом случае	2	1
68	в одном из	1	1
69	то есть в	1	1
70	в пределах одной	2	1
71	во всех направлениях	1	1
72	как бы ни	2	1
73	именно потому что	1	1
74	между тем это	1	1
75	и вступает в	1	1
76	они как бы	2	1
77	в большинстве случаев	6	1
78	автору и его	1	1
79	в иные моменты	1	1
