N	2gram	Bakhtin_Pr_1	VrazhdaK
1	у тургенева	2	11
2	не только	15	9
3	достоевского с	3	9
4	в этом	22	8
5	и в	29	8
6	достоевский в	6	8
7	и что	2	8
8	достоевского в	12	7
9	достоевского и	7	7
10	но и	14	7
11	и все	1	7
12	то что	15	7
13	что в	8	7
14	все же	9	6
15	но в	7	6
16	в нем	19	6
17	как и	12	6
18	в котором	2	6
19	и с	4	6
20	о нем	9	6
21	в начале	1	6
22	и даже	2	6
23	в романе	9	6
24	то же	14	5
25	об этом	1	5
26	в то	10	5
27	же время	9	5
28	между тем	5	5
29	у него	5	5
30	не было	4	5
31	в россии	2	5
32	и не	31	5
33	в ней	2	4
34	что он	8	4
35	в истории	2	4
36	что достоевский	1	4
37	при этом	2	4
38	это не	9	4
39	несмотря на	6	4
40	все это	6	4
41	в виду	1	4
42	во многом	1	4
43	с ним	5	4
44	о том	1	4
45	у достоевского	16	4
46	уже в	3	4
47	может быть	24	4
48	достоевского не	12	4
49	подпольного человека	1	4
50	он считал	1	4
51	как бы	19	4
52	в своих	3	4
53	так же	6	4
54	одним из	6	3
55	из подполья	10	3
56	который был	1	3
57	я не	3	3
58	с его	9	3
59	к творчеству	1	3
60	в своем	8	3
61	и как	7	3
62	его в	6	3
63	он не	5	3
64	далеко не	3	3
65	и уже	2	3
66	том что	7	3
67	но он	2	3
68	в русской	1	3
69	достоевский не	3	3
70	и его	14	3
71	связи с	2	3
72	человека в	4	3
73	и о	5	3
74	достоевского к	4	3
75	что у	1	3
76	и во	2	3
77	в его	24	3
78	в том	8	3
79	и у	3	3
80	в конце	6	3
81	тем что	4	3
82	о себе	12	3
83	т е	21	3
84	ставрогина и	1	3
85	к этому	1	3
86	отношения к	3	2
87	же как	1	2
88	и он	1	2
89	он сам	3	2
90	роман достоевского	12	2
91	но как	3	2
92	лермонтова и	1	2
93	ответ на	1	2
94	тогда как	1	2
95	и достоевский	1	2
96	к автору	1	2
97	в известном	1	2
98	в той	2	2
99	его на	2	2
100	в этой	4	2
101	в себе	7	2
102	время и	1	2
103	их в	4	2
104	таким образом	12	2
105	в мире	6	2
106	достоевского он	2	2
107	в них	3	2
108	рядом с	14	2
109	а с	1	2
110	меня но	1	2
111	на первый	1	2
112	точки зрения	19	2
113	в своей	8	2
114	и ее	2	2
