N	3gram	Tiupa_Vved_1	Tvorches
1	в то же	4	13
2	то же время	3	12
3	в том что	3	6
4	о том что	4	5
5	в конечном счете	1	4
6	и все же	4	3
7	в соответствии с	6	3
8	по сути дела	1	3
9	на первом плане	1	2
10	на самом деле	3	2
11	при этом он	1	2
12	и та же	1	2
13	по крайней мере	1	2
14	в данном случае	6	2
15	не только в	2	2
16	добра и зла	1	2
17	можно сказать что	1	2
18	и в то	1	2
19	тем не менее	3	2
20	героя то есть	1	1
21	что иное как	1	1
22	хотя и не	1	1
23	прежде всего на	1	1
24	и того же	1	1
25	имеют для них	1	1
26	в настоящее время	1	1
27	то же самое	1	1
28	в том же	1	1
29	с установкой на	2	1
30	по отношению к	7	1
31	сами по себе	1	1
32	только в двух	1	1
33	в отличие от	2	1
34	друг на друга	1	1
35	в первой главе	1	1
36	аналогичных действий в	1	1
37	действительной жизни и	1	1
38	заключает в себе	1	1
39	же время они	1	1
40	войне и мире	2	1
41	героя и на	1	1
42	следует рассматривать в	1	1
43	с одной стороны	5	1
44	но в целом	1	1
45	представляет собой не	1	1
46	но при этом	2	1
47	в связи с	1	1
48	три года до	1	1
49	одна и та	1	1
50	объясняется тем что	1	1
51	имеет место в	1	1
52	потому что я	1	1
53	мы узнаем что	1	1
54	в войне и	2	1
55	за три года	1	1
56	в свою очередь	4	1
57	но на этот	1	1
58	и в самом	1	1
59	с другой стороны	1	1
60	и вследствие этого	2	1
61	одного и того	1	1
62	человека в мире	1	1
63	собой не что	1	1
64	героя и героини	1	1
65	но это не	1	1
66	не что иное	1	1
67	к единению с	1	1
68	как и в	2	1
69	на первый взгляд	1	1
70	к тому же	4	1
71	да потому что	1	1
