N	2gram	Medvedev_V_1	VerxiiNi
1	и в	2	26
2	в этом	1	15
3	в том	2	11
4	так как	1	9
5	главным образом	1	8
6	и не	1	8
7	том что	2	7
8	потому что	1	7
9	и т.д	1	6
10	в конце	2	6
11	все это	1	6
12	по крайней	1	5
13	крайней мере	1	5
14	то же	1	4
15	в самом	1	4
16	далеко не	1	4
17	в которых	1	4
18	и только	1	4
19	только в	1	4
20	ясно что	1	3
21	в значительной	1	3
22	хотя бы	1	3
23	конце концов	2	3
24	к этому	1	3
25	именно в	1	2
26	по своим	1	2
27	по существу	1	2
28	самом деле	1	1
29	одном и	1	1
30	к чему	1	1
31	сказать чтобы	1	1
32	том же	1	1
33	в их	1	1
34	а отсюда	1	1
35	за свою	1	1
36	совершенно ясно	1	1
37	ибо никакой	1	1
38	на одном	1	1
39	и его	1	1
40	и том	1	1
41	да и	1	1
42	но это	1	1
43	тем более	1	1
44	ни к	1	1
