N	3gram	Losev_Dial_4	VLabPisa
1	и т д	15	15
2	с другой стороны	1	8
3	не может быть	6	8
4	в зависимости от	1	5
5	хотя бы и	2	5
6	то же время	6	5
7	в то же	6	5
8	не было бы	1	4
9	в связи с	1	4
10	можно сказать что	1	4
11	равно как и	2	4
12	в том что	9	4
13	в силу этого	1	3
14	о том как	2	3
15	и в то	2	3
16	это и есть	4	3
17	о том что	1	3
18	хотя бы в	1	3
19	не может не	1	2
20	в чем же	2	2
21	подобно тому как	4	2
22	и не может	1	2
23	по крайней мере	7	2
24	говорить не о	1	2
25	в конце концов	1	2
26	этой точки зрения	2	2
27	от того что	2	2
28	не только не	1	2
29	для того чтобы	5	2
30	и главным образом	1	2
31	того или другого	2	1
32	и есть то	1	1
33	другой стороны в	1	1
34	иметь в виду	2	1
35	что перед нами	1	1
36	в этом смысле	4	1
37	т е не	2	1
38	между собою и	1	1
39	в силу того	1	1
40	же как и	1	1
41	это и значит	1	1
42	с этой точки	2	1
43	если так то	2	1
44	совершенно очевидно что	1	1
45	как и все	2	1
46	говоря уже о	3	1
47	именно в этом	1	1
48	сама по себе	5	1
49	и значит что	1	1
50	т д но	1	1
51	то или иное	3	1
52	есть то что	5	1
53	некоторые из них	1	1
54	ту или иную	2	1
55	так или иначе	1	1
56	уже о том	2	1
57	в данном случае	1	1
58	но в то	2	1
59	не только в	1	1
60	и не по	1	1
61	т е чисто	1	1
62	от обычного хода	1	1
63	имеет ничего общего	2	1
64	того что не	1	1
65	по сравнению с	2	1
66	мы видим что	2	1
67	не в том	4	1
68	не имеет ничего	2	1
69	а не только	1	1
70	в частности об	1	1
71	а вместе с	1	1
72	не говоря уже	3	1
73	и вместе с	1	1
74	в свою очередь	2	1
75	та или иная	2	1
76	ничего общего с	2	1
77	вопрос о том	1	1
78	той или иной	1	1
79	лежит в основе	3	1
80	ни одна из	1	1
81	после того как	1	1
82	мы имеем дело	1	1
83	мы только что	1	1
84	все это не	1	1
85	может быть в	1	1
86	не значит что	1	1
87	только тогда когда	4	1
88	т е в	2	1
