N	3gram	Bakhtin_Fr_8	VrazhdaK
1	то же время	10	4
2	в то же	10	4
3	в связи с	3	3
4	имел в виду	1	3
5	он не только	1	2
6	с точки зрения	2	2
7	в те годы	1	2
8	но в то	2	2
9	в году и	1	2
10	не может быть	2	2
11	в том что	6	2
12	и в ней	1	1
13	этот материал и	1	1
14	а следовательно и	1	1
15	одна из вариаций	1	1
16	в этом смысле	1	1
17	но в известном	1	1
18	что это за	1	1
19	до сих пор	8	1
20	и во многом	1	1
21	в той же	3	1
22	он вспоминает о	1	1
23	в этом отношении	1	1
24	говорит о себе	1	1
25	и то что	1	1
26	может быть и	1	1
27	и в то	5	1
28	о том как	1	1
29	в свете этой	1	1
30	своей эпохи он	1	1
31	но при этом	1	1
32	быть и речи	1	1
33	в известном смысле	1	1
34	и в этом	1	1
35	а с другой	1	1
36	все же не	1	1
37	с другой стороны	2	1
38	как бы в	1	1
39	у него в	1	1
40	заключается в том	1	1
41	в то время	2	1
42	о том что	2	1
43	и в самом	1	1
44	не только не	2	1
45	в ту эпоху	1	1
46	еще один пример	1	1
47	и во всем	1	1
48	в глубине души	1	1
49	речь идет о	1	1
