N	3gram	Propp_Russ_1	OGranits
1	с точки зрения	3	5
2	по отношению к	1	3
3	что иное как	2	2
4	и наконец в	1	2
5	в данном случае	1	2
6	ничего общего с	1	2
7	не что иное	2	2
8	в том что	15	2
9	том что в	6	1
10	что в этом	2	1
11	только потому что	1	1
12	что в основе	1	1
13	иметь в виду	1	1
14	в виду что	1	1
15	на самом деле	1	1
16	подобно тому как	1	1
17	только одно из	1	1
18	можно говорить о	1	1
19	в отличие от	1	1
20	в этом отношении	1	1
21	в собственном смысле	1	1
22	можно было бы	1	1
23	может быть и	2	1
24	с г в	2	1
25	так же как	1	1
26	ничего общего не	1	1
27	состоит в том	8	1
28	на том основании	1	1
29	тем не менее	3	1
30	и как бы	1	1
31	в связи с	4	1
32	потому что они	1	1
33	в тех случаях	1	1
34	том основании что	1	1
35	но тем не	2	1
36	мы не можем	3	1
37	не только на	2	1
38	и один из	1	1
39	несмотря на все	1	1
40	на то что	1	1
41	тех случаях когда	1	1
42	эту точку зрения	1	1
43	к тому что	4	1
44	как и в	1	1
