N	2gram	Berdyaev_N_1	Sovremen
1	не может	16	17
2	может быть	7	12
3	мы не	2	9
4	в этом	7	7
5	и в	16	7
6	как и	7	6
7	и не	11	6
8	только одна	1	6
9	все эти	2	5
10	прежде всего	4	5
11	в зависимости	1	4
12	вопрос о	3	4
13	зависимости от	1	4
14	нет и	2	4
15	мы должны	1	4
16	в том	8	4
17	из них	1	4
18	так как	1	4
19	не только	5	4
20	вместе с	2	4
21	это не	4	4
22	их в	1	4
23	а в	2	4
24	жизни и	8	4
25	он может	1	3
26	еще не	3	3
27	но в	2	3
28	он в	1	3
29	в этой	1	3
30	в себе	2	3
31	уже в	1	3
32	что она	2	3
33	в конце	1	3
34	в нем	5	3
35	и мы	4	3
36	было бы	1	3
37	а не	17	3
38	и потому	4	3
39	не в	6	3
40	все это	5	3
41	одна из	2	3
42	и все	4	3
43	у нас	1	3
44	и к	5	3
45	когда мы	2	3
46	в области	1	3
47	жизни мы	1	2
48	и есть	10	2
49	приводит к	1	2
50	роль в	2	2
51	времени и	2	2
52	и даже	2	2
53	говорить о	1	2
54	только так	1	2
55	говорим о	1	2
56	и что	2	2
57	на их	1	2
58	и во	1	2
59	в которую	1	2
60	в его	1	2
61	может иметь	1	2
62	с этим	2	2
63	в самом	1	2
64	к чему	1	2
65	в которой	1	2
66	из этих	1	2
67	с одной	2	2
68	ни одна	2	2
69	уже не	2	2
70	всяком случае	1	2
71	у него	2	2
72	отличие от	1	2
73	ее на	1	2
74	но все	1	2
75	что все	2	2
76	значение в	1	2
77	и пр	3	2
78	а на	1	2
79	такой же	2	2
80	что такое	3	2
81	в отличие	1	2
82	такого рода	2	2
83	не менее	4	2
84	можно назвать	2	2
85	в свою	1	2
86	не могут	1	2
87	могут быть	2	2
88	что в	9	2
89	во всяком	1	2
90	и начала	2	1
91	должен быть	5	1
92	новое время	4	1
93	и это	2	1
94	оно может	1	1
95	она через	1	1
96	времени не	1	1
97	человека и	3	1
98	с ее	5	1
99	начало нового	3	1
100	лишь там	1	1
101	это и	2	1
102	по преимуществу	1	1
103	и до	1	1
104	бы к	1	1
105	не имеют	2	1
106	то нужно	1	1
107	в мире	3	1
108	стремится быть	1	1
109	можно было	2	1
110	от старого	2	1
111	мы уже	1	1
112	из всех	1	1
113	во многом	1	1
114	она совсем	1	1
115	же как	2	1
116	еще в	1	1
117	может осуществить	1	1
118	мы в	1	1
119	же мере	1	1
120	совершенно так	1	1
121	и начало	3	1
122	мы всегда	1	1
123	в будущем	2	1
124	и должно	2	1
125	разобраться в	1	1
126	то они	1	1
127	того же	1	1
128	о том	4	1
129	в ней	5	1
130	на них	1	1
131	перестал быть	1	1
132	быть в	2	1
133	что его	1	1
134	с его	6	1
135	во всех	3	1
136	совсем не	12	1
137	но не	2	1
138	все время	2	1
139	к которому	1	1
140	значит что	4	1
141	к нему	1	1
142	известном смысле	1	1
143	стал совершенно	1	1
144	есть такой	1	1
145	иметь только	1	1
146	ли он	1	1
147	только в	1	1
148	в этот	1	1
149	то нет	1	1
150	то он	1	1
151	жизни к	4	1
152	но ведь	1	1
153	в известном	1	1
154	конечно не	3	1
155	и у	1	1
156	мира но	1	1
157	в большинстве	1	1
158	а это	1	1
159	он не	8	1
160	и еще	1	1
161	и их	1	1
162	центр тяжести	2	1
163	к одному	1	1
164	по существу	2	1
165	сами по	1	1
166	для них	1	1
167	не случайно	1	1
168	заключает в	1	1
169	в основу	1	1
170	это конечно	1	1
171	не хотим	2	1
172	и природа	1	1
173	это значит	1	1
174	и только	1	1
175	не будет	7	1
176	том случае	1	1
177	одной стороны	2	1
178	и т.п	2	1
179	до сих	1	1
180	с другой	3	1
181	на ее	1	1
182	нельзя сказать	1	1
183	этом смысле	2	1
184	весь мир	1	1
185	в природе	2	1
186	в новое	3	1
187	на поверхности	1	1
188	ни в	6	1
189	нет в	1	1
190	не было	4	1
191	хотим сказать	1	1
192	этого не	1	1
193	и вся	1	1
194	для чего	2	1
195	не погиб	2	1
196	должно быть	4	1
197	века можно	1	1
198	том что	2	1
199	в эту	1	1
200	все более	1	1
201	но если	1	1
202	так же	2	1
203	и особенно	1	1
204	в такой	1	1
205	мы конечно	1	1
206	мы говорим	2	1
207	что вся	1	1
208	и красота	1	1
209	xix века	5	1
210	мы опять	1	1
211	по многим	1	1
212	должны стремиться	1	1
213	быть таким	1	1
214	быть только	1	1
215	совершенно невозможно	1	1
216	и более	1	1
217	жизни в	3	1
218	если нет	2	1
219	по себе	1	1
220	в своем	1	1
221	как например	1	1
222	и нет	1	1
223	сих пор	1	1
224	с ним	1	1
225	xviii века	2	1
226	она не	3	1
227	но для	2	1
228	системы этот	1	1
229	мысли в	2	1
230	не имеет	4	1
231	это уже	1	1
232	и от	2	1
233	никогда не	6	1
234	все свои	1	1
235	этой системы	1	1
236	хотя и	2	1
237	жизни не	3	1
238	и философы	1	1
239	или нет	1	1
240	и равенства	1	1
241	жизни как	2	1
242	все они	2	1
243	и его	1	1
244	века с	1	1
245	так называемый	1	1
246	но это	6	1
247	и из	1	1
248	есть реакция	1	1
249	ли это	2	1
250	не знает	6	1
251	сказать что	3	1
252	не быть	1	1
253	и для	4	1
254	но можно	1	1
255	равно как	2	1
256	в духе	3	1
257	свободы и	2	1
258	человека в	1	1
259	в то	2	1
260	на это	1	1
261	все что	1	1
262	они не	1	1
