N	3gram	Voloshinov_1	TeoriaLi
1	в том что	1	6
2	в данном случае	1	5
3	в конечном счете	2	4
4	можно сказать что	3	3
5	той или иной	1	3
6	в этом смысле	3	3
7	и того же	1	2
8	всех без исключения	1	2
9	с точки зрения	6	2
10	с одной стороны	1	2
11	а с другой	1	2
12	одного и того	1	2
13	не может быть	3	2
14	я и мир	1	1
15	этой точки зрения	1	1
16	дело в том	1	1
17	по ту сторону	4	1
18	имеем в виду	1	1
19	подобно тому как	1	1
20	со всех сторон	1	1
21	как это делает	1	1
22	и теперь в	1	1
23	ни в коем	1	1
24	бы то ни	1	1
25	сказать что для	1	1
26	в коем случае	1	1
27	по крайней мере	3	1
28	и со всеми	1	1
29	то ни было	1	1
30	таким образом и	1	1
31	в себя и	1	1
32	не могут быть	2	1
33	имеем дело с	1	1
34	в связи с	1	1
35	так же как	2	1
36	на вопрос о	1	1
37	с этой точки	1	1
38	может быть это	3	1
39	это и есть	1	1
40	во внешнем мире	1	1
41	прежде всего к	1	1
42	о том что	2	1
43	и прежде всего	1	1
44	мы имеем в	1	1
45	в большинстве случаев	3	1
46	для того чтобы	1	1
47	его за пределы	1	1
48	я и его	1	1
