N	3gram	Losev_Dial_2	OGranits
1	с точки зрения	8	5
2	не может быть	3	4
3	до тех пор	1	4
4	тех пор пока	1	3
5	есть прежде всего	1	3
6	одно и то	4	3
7	что иное как	3	2
8	в самом деле	3	2
9	в зависимости от	2	2
10	в данном случае	2	2
11	не только его	1	2
12	с одной стороны	1	2
13	и то же	4	2
14	с другой стороны	4	2
15	того или иного	1	2
16	есть не что	2	2
17	с самого начала	2	2
18	не что иное	3	2
19	в том что	6	2
20	точки зрения и	1	1
21	том что в	1	1
22	но это конечно	1	1
23	движение может иметь	1	1
24	только потому что	1	1
25	иметь в виду	2	1
26	в виду что	2	1
27	более или менее	2	1
28	равно как и	1	1
29	на самом деле	1	1
30	подобно тому как	1	1
31	выйти за пределы	1	1
32	только одно из	1	1
33	то же самое	2	1
34	и не может	1	1
35	в поэзии же	1	1
36	только то что	4	1
37	в этом отношении	1	1
38	может и должно	1	1
39	может быть и	3	1
40	то или иное	4	1
41	по себе а	1	1
42	так как все	1	1
43	ту или иную	1	1
44	в последнее время	1	1
45	так же как	1	1
46	тем не менее	2	1
47	и вместе с	1	1
48	и как бы	1	1
49	все же есть	1	1
50	в связи с	4	1
51	само по себе	2	1
52	это и не	1	1
53	не должно быть	2	1
54	потому что они	2	1
55	может привести только	1	1
56	поставить вопрос возможна	1	1
57	вопрос возможна ли	1	1
58	то же время	4	1
59	то не только	1	1
60	та или иная	2	1
61	не только на	1	1
62	привести только к	1	1
63	несмотря на все	1	1
64	но что же	1	1
65	есть одно и	1	1
66	собственно говоря даже	1	1
67	выключить из него	1	1
68	в то же	3	1
69	и следовательно в	1	1
70	к тому что	1	1
