N	3gram	Losev_Vesc_1	Formalny
1	не может быть	6	10
2	с точки зрения	3	7
3	в этом отношении	1	7
4	в самом деле	4	5
5	с тем что	1	5
6	в то же	1	5
7	во всяком случае	2	5
8	и т д	19	5
9	вместе с тем	1	4
10	и пр но	1	3
11	как раз и	1	3
12	в зависимости от	1	3
13	сам по себе	3	3
14	не в том	1	3
15	в том смысле	1	3
16	с другой стороны	2	3
17	хотя бы в	2	3
18	для того чтобы	2	3
19	только и может	1	2
20	и то и	1	2
21	сами по себе	3	2
22	то и другое	4	2
23	даже и не	1	2
24	в применении к	1	2
25	в конце концов	2	2
26	по себе а	1	2
27	была бы совершенно	1	2
28	смысла т е	2	2
29	к тому что	2	2
30	том смысле что	1	2
31	в том что	4	2
32	в этом понятии	1	2
33	и не в	1	2
34	как мы знаем	1	2
35	что иное как	7	1
36	с трудом можно	1	1
37	т е уже	1	1
38	во все новые	1	1
39	е уже предполагается	1	1
40	крайней мере четыре	1	1
41	по существу и	1	1
42	более или менее	1	1
43	равно как и	2	1
44	связанной с этим	1	1
45	и в особенности	1	1
46	но даже и	2	1
47	новые и новые	1	1
48	она уже не	1	1
49	внутренняя форма слова	1	1
50	в отрыве от	2	1
51	по самому своему	1	1
52	с одной стороны	3	1
53	ее с тем	1	1
54	и для всех	1	1
55	до сих пор	1	1
56	можно говорить о	2	1
57	со всем что	1	1
58	такой постановки вопроса	1	1
59	из того что	2	1
60	в собственном смысле	2	1
61	но и самой	1	1
62	и в в	2	1
63	с самим собою	2	1
64	бы сказать что	2	1
65	по крайней мере	4	1
66	того что они	1	1
67	что не есть	3	1
68	мы не можем	1	1
69	в том или	1	1
70	т е в	7	1
71	в данном случае	2	1
72	в том чтобы	1	1
73	однако и здесь	1	1
74	не отрицал и	1	1
75	в той же	1	1
76	вещи но и	2	1
77	так или иначе	4	1
78	и еще более	1	1
79	это и есть	1	1
80	все же не	1	1
81	бы то ни	4	1
82	что же такое	3	1
83	и во всяком	1	1
84	она могла бы	2	1
85	нельзя было бы	2	1
86	новые формы и	1	1
87	смерть а не	1	1
88	только то что	2	1
89	есть не что	5	1
90	той или другой	2	1
91	все новые и	1	1
92	не вещь а	1	1
93	в свою очередь	4	1
94	было бы сказать	2	1
95	не что иное	7	1
96	от нее не	1	1
97	сама по себе	3	1
98	тем не менее	3	1
99	на то чтобы	1	1
100	она не может	2	1
101	уже с трудом	1	1
102	что и в	1	1
103	но и к	1	1
