N	3gram	Tiupa_Disk_2	SlovoVZh
1	по отношению к	4	11
2	не может быть	3	7
3	можно сказать что	1	5
4	дело в том	2	4
5	в том что	6	4
6	и не может	2	3
7	тем не менее	1	3
8	бы то ни	1	3
9	то ни было	1	3
10	и то же	2	2
11	в такой же	1	2
12	с другой стороны	1	2
13	одной стороны и	2	2
14	с точки зрения	2	2
15	до известной степени	1	2
16	одно и то	2	2
17	в данном случае	6	2
18	с одной стороны	4	2
19	но прежде всего	1	1
20	том что в	1	1
21	в чем не	1	1
22	в процессе творческого	1	1
23	мы имеем дело	1	1
24	и соответствующей ему	1	1
25	во всяком случае	1	1
26	не должно быть	1	1
27	в самом деле	1	1
28	между тем как	1	1
29	ни в чем	1	1
30	в своем значении	1	1
31	равно как и	1	1
32	но для этого	1	1
33	о том что	3	1
34	только то что	1	1
35	в этом отношении	4	1
36	по аналогии с	1	1
37	при этом слово	1	1
38	с самого начала	1	1
39	в конечном счете	1	1
40	и прежде всего	2	1
41	героя никогда не	1	1
42	то же время	5	1
43	подобно тому как	2	1
44	в русской литературе	2	1
45	включает в себя	1	1
46	в основе своей	2	1
47	по крайней мере	1	1
48	в то же	4	1
49	случае мы имеем	1	1
50	отнюдь не является	1	1
51	и в частности	1	1
52	в значительной степени	1	1
53	на передний план	1	1
54	место в творчестве	1	1
55	не совпадает с	1	1
56	как и в	5	1
