N	2gram	Medvedev_U_1	Problema
1	и в	14	44
2	и не	8	35
3	не есть	2	35
4	то есть	1	34
5	может быть	6	28
6	по себе	2	25
7	то что	7	23
8	в том	2	21
9	только в	2	19
10	а не	10	18
11	в этом	7	17
12	даже и	2	16
13	сказать что	1	16
14	художественного произведения	2	14
15	и то	3	14
16	не только	10	14
17	и даже	1	14
18	то же	5	13
19	не в	2	13
20	но в	3	12
21	том что	2	12
22	отнюдь не	1	10
23	так и	1	10
24	как и	3	10
25	у нас	3	10
26	в виду	1	10
27	но и	4	10
28	в нем	1	9
29	и с	2	9
30	это не	3	9
31	в то	3	9
32	и это	1	9
33	в его	2	9
34	что и	2	9
35	что он	2	9
36	в данном	1	9
37	же самое	2	9
38	таким образом	2	9
39	в себе	2	8
40	он не	1	8
41	было бы	3	8
42	но это	2	8
43	как раз	2	8
44	того что	1	8
45	что же	1	8
46	художественное произведение	5	8
47	что мы	2	8
48	что в	1	8
49	мы не	2	7
50	данном случае	1	7
51	и что	1	7
52	с другой	4	7
53	уже не	1	7
54	не может	7	7
55	и потому	1	7
56	сам по	1	6
57	все же	3	6
58	о том	1	6
59	у пушкина	1	6
60	то ни	3	6
61	но если	1	6
62	никогда не	1	6
63	для этого	3	6
64	можно сказать	1	6
65	и только	5	6
66	мы можем	1	6
67	в виде	1	6
68	за пределы	1	5
69	в своем	1	5
70	с тем	1	5
71	в своей	3	5
72	является только	1	5
73	тех или	2	5
74	которое мы	1	5
75	в ней	1	5
76	крайней мере	2	5
77	то и	1	5
78	или даже	1	5
79	в конце	2	5
80	не было	1	5
81	по крайней	2	5
82	этом случае	1	5
83	все это	5	5
84	другой стороны	3	5
85	состоит из	1	5
86	в таком	1	5
87	но даже	2	4
88	бы то	3	4
89	только при	1	4
90	могли бы	2	4
91	на первый	2	4
92	и является	2	4
93	или иных	2	4
94	тем что	2	4
95	нас в	2	4
96	или по	1	4
97	ни от	2	4
98	это значит	1	4
99	сколько угодно	2	4
100	в искусстве	6	4
101	художественном произведении	2	3
102	же как	1	3
103	часто бывает	1	3
104	имеет свою	1	3
105	это же	1	3
106	но не	2	3
107	в художественном	5	3
108	в самом	2	3
109	в этой	4	3
110	на то	1	3
111	конце концов	2	3
112	художественным произведением	1	3
113	об этом	1	3
114	первую очередь	1	3
115	не значит	1	3
116	что такое	4	3
117	в которых	1	3
118	ничего не	2	3
119	находятся в	1	3
120	она не	1	3
121	с самим	1	3
122	если бы	2	3
123	в порядке	1	3
124	в качестве	1	3
125	самом деле	2	3
126	а это	1	3
127	для него	3	3
128	само по	1	3
129	что для	1	3
130	прежде всего	8	3
131	его как	1	3
132	в первую	1	3
133	если не	2	3
134	в той	1	3
135	это уже	2	3
136	формы и	2	3
137	и все	1	3
138	тем более	1	3
139	хотя бы	5	3
140	ни было	3	3
141	же в	1	3
142	столько же	1	2
143	мы имеем	1	2
144	мы и	2	2
145	этого термина	2	2
146	литературы и	2	2
147	быть в	1	2
148	нам представляется	2	2
149	не то	1	2
150	с которыми	1	2
151	в известном	1	2
152	первый взгляд	1	2
153	в которой	1	2
154	он в	1	2
155	бы только	1	2
156	но именно	1	2
157	слова а	1	2
158	всех этих	2	2
159	в понятии	1	2
160	широком смысле	1	2
161	что все	2	2
162	же не	2	2
163	а как	2	2
164	л толстой	1	2
165	он и	1	2
166	первый план	1	2
167	в котором	1	2
168	в их	4	2
169	не столько	2	2
170	является в	2	2
171	произведения в	1	2
172	если нет	1	2
173	об ее	1	2
174	в процессе	1	2
175	но что	1	2
176	и искусства	1	2
177	могут быть	2	2
178	но также	1	2
179	что при	1	2
180	для себя	1	2
181	такое что	1	2
182	в буквальном	2	2
183	искусства и	1	2
184	является предметом	1	2
185	на одно	1	2
186	это было	2	2
187	переходит в	1	2
188	но тут	1	2
189	по мнению	1	2
190	с одной	1	2
191	и у	2	2
192	гораздо больше	1	2
193	даже не	1	2
194	до сих	2	2
195	только к	3	2
196	о чем	2	2
197	в частности	3	2
198	из которых	1	2
199	он будет	1	2
200	и всей	1	2
201	по существу	2	2
202	к проблеме	1	2
203	сих пор	2	2
204	и для	2	2
205	при таком	2	2
206	бы в	1	2
207	все они	2	2
208	это в	1	2
209	как на	1	2
