N	2gram	Losev_Vesc_1	Poddanst
1	не только	36	17
2	и в	21	14
3	и не	29	12
4	в этом	4	10
5	в отношении	4	10
6	в качестве	1	9
7	но в	5	9
8	то же	6	9
9	в том	8	9
10	в пределах	1	8
11	хотя бы	6	8
12	только в	14	7
13	в то	3	7
14	в ней	12	6
15	было бы	14	6
16	но и	18	6
17	быть может	1	6
18	в смысле	12	6
19	с другой	6	5
20	может быть	16	5
21	и пр	6	5
22	а я	1	5
23	экономики и	1	5
24	не в	5	5
25	и о	3	5
26	если бы	5	4
27	тех кто	2	4
28	а также	1	4
29	в своем	6	4
30	и к	1	4
31	как бы	12	4
32	и если	2	4
33	том что	8	4
34	не может	17	4
35	и потому	5	4
36	в котором	3	4
37	по себе	13	4
38	что в	9	4
39	мы должны	2	4
40	же в	1	4
41	а в	4	4
42	то что	27	4
43	в с	2	4
44	и т	19	3
45	настоящий момент	1	3
46	мы не	6	3
47	д а	1	3
48	сводится к	2	3
49	это не	5	3
50	хотя и	4	3
51	и как	8	3
52	тот же	3	3
53	с ними	3	3
54	с одной	3	3
55	в себе	14	3
56	в нем	2	3
57	сами по	3	3
58	в россии	2	3
59	для того	2	3
60	заключается в	1	3
61	прежде всего	9	3
62	одной стороны	3	3
63	с тем	5	3
64	что мы	14	3
65	и без	3	3
66	с точки	3	3
67	но не	5	3
68	она есть	8	3
69	наряду с	1	3
70	могут быть	1	3
71	т е	55	3
72	тем самым	1	3
73	потому что	16	3
74	точки зрения	5	3
75	я и	6	3
76	в настоящий	1	3
77	и это	14	2
78	в сфере	4	2
79	в ее	7	2
80	переход от	1	2
81	и есть	26	2
82	было в	1	2
83	есть не	14	2
84	с с	1	2
85	которую мы	1	2
86	по сравнению	7	2
87	является в	2	2
88	есть нечто	6	2
89	только это	3	2
90	но к	1	2
91	никак не	3	2
92	не нужно	2	2
93	во всех	2	2
94	говорить о	6	2
95	если в	1	2
96	в общем	1	2
97	во всей	1	2
98	со стороны	5	2
99	отнюдь не	5	2
100	с этим	3	2
101	и пусть	1	2
102	того что	8	2
103	стороны и	2	2
