N	2gram	Tiupa_Disk_1	IolandNe
1	и не	11	2
2	в этом	15	2
3	он не	1	2
4	оба они	1	2
5	что в	4	2
6	то и	1	1
7	с другой	10	1
8	о жизни	1	1
9	для него	4	1
10	того что	3	1
11	стороны он	1	1
12	отношению к	9	1
13	и о	4	1
14	говорить о	1	1
15	с литературными	2	1
16	вплоть до	1	1
17	в целом	4	1
18	это было	2	1
19	следующим образом	1	1
20	введение в	1	1
21	утверждает что	1	1
22	так и	8	1
23	автора и	1	1
24	в основе	7	1
25	а позднее	2	1
26	по отношению	9	1
27	себя в	2	1
28	и сам	1	1
29	если бы	1	1
30	того же	3	1
31	не остается	1	1
32	от этого	1	1
33	а с	5	1
34	в значительной	2	1
35	в первую	1	1
36	первую очередь	1	1
37	а также	8	1
38	а в	5	1
39	очевидно что	1	1
40	то она	2	1
41	и в	16	1
42	другое дело	1	1
43	не случайно	1	1
44	цель и	1	1
45	более чем	2	1
46	со всеми	1	1
47	тем что	3	1
48	и др	2	1
49	а по	2	1
50	я не	1	1
51	другой стороны	3	1
52	о ней	1	1
53	никогда не	2	1
54	в них	4	1
55	и без	2	1
56	автор и	3	1
57	художественного творчества	1	1
