N	3gram	Kanaev_Sov_1	Freidism
1	с точки зрения	5	11
2	по отношению к	1	8
3	во всяком случае	2	7
4	не может быть	4	7
5	в самом деле	1	6
6	и прежде всего	1	5
7	в то же	1	4
8	мы знаем что	1	4
9	на самом деле	1	4
10	то же время	1	4
11	в зависимости от	4	4
12	в данном случае	1	4
13	и тот же	1	3
14	с самого начала	3	3
15	одной и той	1	3
16	бы то ни	1	3
17	один и тот	1	3
18	теперь мы должны	1	3
19	с помощью которых	2	3
20	и той же	1	3
21	в конечном счете	1	3
22	на этот вопрос	1	3
23	таким образом вся	1	3
24	в свою очередь	2	3
25	с одной стороны	1	2
26	но если мы	1	2
27	но мы знаем	1	2
28	мы видели что	3	2
29	мы уже знаем	1	2
30	может быть и	2	2
31	до сих пор	1	2
32	то ни было	1	2
33	не дает нам	1	2
34	в предыдущей главе	1	2
35	и не может	1	2
36	в отличие от	2	2
37	ничего общего не	1	2
38	не могут быть	1	2
39	то же самое	2	2
40	с помощью которой	1	2
41	предыдущей главе мы	1	2
42	в первый период	1	2
43	тем не менее	2	2
44	мы не можем	6	1
45	из этих двух	1	1
46	стадии своего развития	1	1
47	ни о каком	1	1
48	что же это	3	1
49	он приводит к	1	1
50	только одна из	1	1
51	в этом периоде	1	1
52	и те же	1	1
53	таким образом он	1	1
54	всяком случае не	1	1
55	назвать в отличие	1	1
56	не опирается на	1	1
57	как видит читатель	1	1
58	само собою разумеется	2	1
59	равно как и	1	1
60	друг на друга	1	1
61	мы должны еще	1	1
62	мы должны признать	1	1
63	в этом смысле	1	1
64	точно такие же	1	1
65	она не может	1	1
66	его таким образом	1	1
67	и речи мы	1	1
68	в том что	1	1
69	в этом случае	1	1
70	вопрос о методе	1	1
71	и все те	1	1
72	тем же законам	1	1
73	но никогда не	1	1
74	мы не знаем	1	1
75	и может быть	1	1
76	и ни в	1	1
77	в заключение нужно	1	1
78	не было бы	1	1
79	для своего объяснения	1	1
80	той или иной	1	1
81	как мы видим	1	1
82	а может быть	1	1
83	давая себе даже	1	1
84	могут быть поняты	1	1
85	знаем что это	1	1
86	можем ли мы	1	1
87	но все же	1	1
88	не может ведь	1	1
89	в такой же	1	1
90	по аналогии с	1	1
91	образом ясно что	1	1
92	с этим вопросом	1	1
93	на другую и	1	1
94	и все же	1	1
95	но тем не	1	1
96	первый период развития	1	1
97	они не могут	1	1
98	таким образом ясно	1	1
99	что же остается	1	1
100	же это за	2	1
101	в совершенно готовом	1	1
102	это как бы	1	1
103	быть и речи	1	1
104	не давая себе	1	1
105	по крайней мере	1	1
106	одни и те	1	1
