N	2gram	Berdyaev_M_1	Sotsiolo
1	все это	6	7
2	в том	6	5
3	в этом	20	5
4	и только	1	3
5	более чем	1	3
6	для нас	3	3
7	не только	29	3
8	и в	28	3
9	но ведь	1	3
10	не в	16	3
11	в его	9	3
12	за пределы	4	2
13	но и	25	2
14	конце концов	2	2
15	и мы	2	2
16	было бы	10	2
17	к которому	1	2
18	в смысле	1	2
19	она может	2	2
20	должна быть	6	2
21	только в	6	2
22	по природе	1	2
23	нужно было	1	2
24	тем более	1	2
25	том что	3	2
26	одно дело	1	2
27	в частности	1	2
28	как будто	2	2
29	идей и	3	2
30	то что	5	2
31	и что	2	2
32	литературы и	2	2
33	еще не	1	2
34	ведь это	2	2
35	это и	4	2
36	отношению к	2	2
37	в конце	7	2
38	что в	10	2
39	может быть	30	2
40	как бы	2	2
41	по отношению	2	2
42	и заключается	1	2
43	в свои	1	1
44	я и	1	1
45	же не	1	1
46	вряд ли	3	1
47	быть не	2	1
48	в мире	10	1
49	в этой	6	1
50	выходит за	1	1
51	но одно	1	1
52	которая должна	1	1
53	на все	1	1
54	нельзя мыслить	1	1
55	же этот	1	1
56	его в	3	1
57	ним все	1	1
58	только для	1	1
59	с ним	2	1
60	это не	5	1
61	на этот	2	1
62	все же	2	1
63	один из	4	1
64	и есть	14	1
65	в то	2	1
66	кто не	1	1
67	хотелось бы	1	1
68	мысли в	1	1
69	и наконец	1	1
70	тем что	4	1
71	в наше	2	1
72	и как	2	1
73	что он	10	1
74	прежде всего	10	1
75	бы он	1	1
76	как живой	1	1
77	в них	4	1
78	так и	1	1
79	не было	18	1
80	и не	11	1
81	пишет он	2	1
82	из себя	1	1
83	никогда не	14	1
84	наше время	1	1
85	мы не	1	1
86	ничего не	3	1
87	мы еще	2	1
88	и о	1	1
89	все эти	2	1
90	как и	5	1
91	или нет	1	1
92	бы в	2	1
93	но она	1	1
94	конечно не	3	1
95	и его	9	1
96	в этих	4	1
97	место в	2	1
98	хотя бы	3	1
99	вступает в	1	1
100	с увлечением	1	1
101	стало быть	1	1
102	не может	28	1
103	в своей	15	1
104	не от	1	1
105	а в	4	1
106	не способен	1	1
107	него и	2	1
108	что она	1	1
109	о том	2	1
110	и русская	1	1
111	в области	1	1
112	и потому	10	1
113	он ни	2	1
114	в него	3	1
115	в котором	8	1
116	всему этому	1	1
117	него для	1	1
118	все то	1	1
119	может не	2	1
120	всяком случае	1	1
121	когда мы	2	1
122	в силу	1	1
123	наука о	1	1
124	не без	1	1
125	у которых	2	1
126	вовсе не	1	1
127	и границы	2	1
128	что без	2	1
129	но не	8	1
130	у него	17	1
131	между тем	1	1
132	и по	4	1
133	перейдет в	1	1
134	можно принять	1	1
135	и более	1	1
136	в цельном	1	1
137	во всяком	1	1
138	в каждом	1	1
139	они не	1	1
140	это значит	3	1
