1	в то же	3	5
2	то же время	3	5
3	так и в	1	3
4	и как бы	1	2
5	в году в	1	2
6	в отличие от	5	2
7	но все же	4	2
8	в том что	8	2
9	точно так же	2	2
10	в данном случае	4	2
11	о том что	6	2
12	то что он	1	1
13	как своего рода	1	1
14	и не быть	1	1
15	и то что	1	1
16	а как же	1	1
17	от всего предшествующего	1	1
18	и т.д не	1	1
19	в связи с	2	1
20	том что он	1	1
21	позиции в мире	1	1
22	не только о	2	1
23	об этом свидетельствует	1	1
24	сам по себе	1	1
25	не может быть	5	1
26	связаны между собой	1	1
27	на всем протяжении	1	1
28	и должна быть	1	1
29	не имеет для	1	1
30	а на другой	1	1
31	как это часто	1	1
32	тем не менее	3	1
33	в самом деле	1	1
34	в какой-то мере	1	1
35	это же время	1	1
36	мысль о том	1	1
37	как и в	1	1
38	в это же	1	1
39	и при этом	1	1
40	все же не	4	1
41	она все же	1	1
