N	2gram	Vygotskiy__5	Poddanst
1	не только	16	17
2	и в	16	14
3	и не	12	12
4	в области	12	11
5	в этом	25	10
6	в отношении	9	10
7	в качестве	4	9
8	но в	6	9
9	то же	8	9
10	в том	18	9
11	в пределах	4	8
12	хотя бы	5	8
13	только в	10	7
14	в то	5	7
15	в ней	2	6
16	было бы	10	6
17	но и	6	6
18	в смысле	3	6
19	отношении к	1	5
20	с другой	4	5
21	может быть	9	5
22	не в	6	5
23	и о	1	5
24	если бы	8	4
25	в своем	5	4
26	и к	2	4
27	как бы	5	4
28	том что	15	4
29	не может	18	4
30	и потому	2	4
31	в котором	2	4
32	большей степени	1	4
33	по себе	7	4
34	что в	16	4
35	мы должны	8	4
36	же в	2	4
37	а в	3	4
38	то что	26	4
39	мы не	3	3
40	сводится к	1	3
41	столь же	2	3
42	между тем	3	3
43	это не	4	3
44	вслед за	2	3
45	и как	3	3
46	тот же	5	3
47	с ними	1	3
48	с одной	3	3
49	в себе	1	3
50	в нем	7	3
51	для того	14	3
52	заключается в	5	3
53	прежде всего	3	3
54	одной стороны	3	3
55	с тем	3	3
56	что мы	4	3
57	с точки	9	3
58	но не	10	3
59	она есть	1	3
60	могут быть	4	3
61	тем самым	8	3
62	потому что	21	3
63	точки зрения	18	3
64	и это	1	2
65	отношения к	2	2
66	например в	1	2
67	в сфере	5	2
68	в ее	1	2
69	переход от	7	2
70	и есть	7	2
71	есть не	2	2
72	которую мы	2	2
73	по сравнению	5	2
74	есть нечто	1	2
75	к началу	4	2
76	но к	1	2
77	никак не	3	2
78	не нужно	1	2
79	во всех	2	2
80	в которую	1	2
81	говорить о	3	2
82	если в	3	2
83	в общем	1	2
84	со стороны	1	2
85	из важнейших	1	2
86	с этим	3	2
87	и дети	1	2
88	того что	16	2
89	стороны и	2	2
90	теперь в	1	2
91	думать что	1	2
92	есть в	1	2
93	в проблеме	1	2
94	в начале	1	2
95	главным образом	1	2
96	и других	1	2
97	в его	11	2
98	из них	2	2
99	в виде	1	2
100	в силу	10	2
101	как раз	1	2
102	и с	3	2
103	точек зрения	4	2
104	полной мере	1	2
105	может ли	2	2
106	именно в	4	2
107	и тем	3	2
108	сказывается в	2	2
109	в жизни	2	2
110	в них	2	2
111	не было	1	2
112	а не	10	2
113	должно быть	8	2
114	более чем	1	2
115	не столько	1	2
116	друг другу	2	2
117	в тот	2	2
118	не менее	3	2
119	все это	2	2
120	мысль о	1	2
121	да и	1	2
122	в полной	1	2
123	еще более	5	2
124	тем более	4	2
125	для нас	1	2
126	исключительно в	1	2
127	в частности	3	2
128	как на	3	2
129	том числе	1	2
130	в применении	1	1
131	какое огромное	1	1
132	равным образом	1	1
133	также и	1	1
134	же как	7	1
135	с другом	7	1
136	связана с	1	1
137	применительно к	1	1
138	и то	4	1
139	тем и	1	1
140	как известно	4	1
141	на основе	2	1
142	как по	1	1
143	нового не	1	1
144	тем же	1	1
145	и этим	1	1
146	в себя	3	1
147	осознать и	1	1
148	к жизни	3	1
149	идет речь	1	1
150	применении к	1	1
151	должна быть	5	1
152	собственном смысле	1	1
153	возникнуть совершенно	1	1
154	поскольку она	1	1
155	на нее	2	1
156	целому ряду	3	1
157	те же	2	1
158	не с	2	1
159	еще в	3	1
160	бы что	1	1
161	что уже	1	1
162	для этого	1	1
163	в собственном	1	1
164	тем чем	1	1
165	находится в	2	1
166	план в	1	1
167	почти исключительно	1	1
168	с ее	1	1
169	и ее	1	1
170	том виде	1	1
171	именно потому	2	1
172	мы и	5	1
173	эти явления	1	1
174	и здесь	2	1
175	вопроса и	1	1
176	может не	1	1
177	не означает	4	1
178	и что	12	1
179	еще не	4	1
180	предпосылки в	1	1
181	были бы	1	1
182	и на	6	1
183	он был	1	1
184	это но	1	1
185	в различных	2	1
186	с его	1	1
187	вопросу о	1	1
188	бы она	1	1
189	различия между	1	1
190	с трудом	1	1
191	что и	3	1
192	отличие от	2	1
193	мы хотим	1	1
194	в истории	2	1
195	эта проблема	2	1
196	известном смысле	7	1
197	все же	3	1
198	этой последней	2	1
199	не два	2	1
200	обе эти	5	1
201	культурного развития	1	1
202	мы видим	4	1
203	более или	1	1
204	в какой	6	1
205	которую оно	1	1
206	может оказаться	1	1
207	в самом	4	1
208	только то	1	1
209	но как	3	1
210	в которой	5	1
211	во времени	1	1
212	что составляет	1	1
213	что это	1	1
214	их не	1	1
215	формы в	1	1
216	могли бы	6	1
217	вопрос об	3	1
218	представляет собой	7	1
