N	3gram	Propp_Isto_2	EvropaiE
1	с одной стороны	3	8
2	в том что	5	6
3	так же как	4	5
4	не только в	4	4
5	можно было бы	3	3
6	друг с другом	1	3
7	и прежде всего	1	3
8	с другой стороны	2	2
9	не может быть	2	2
10	мы можем сказать	1	2
11	на то что	2	2
12	друг от друга	1	2
13	другой стороны в	1	1
14	но так как	1	1
15	через некоторое время	1	1
16	в тех случаях	1	1
17	при вступлении в	1	1
18	несмотря на то	1	1
19	на своем пути	1	1
20	в одной из	1	1
21	и не только	1	1
22	в отличие от	1	1
23	но и в	2	1
24	тех случаях когда	1	1
25	с тем что	3	1
26	что мы знаем	1	1
27	мы увидим что	3	1
28	почти никогда не	1	1
29	при помощи этого	1	1
30	могут быть установлены	1	1
31	это может быть	1	1
32	смысле этого слова	1	1
33	в некоторых случаях	2	1
34	во всех этих	2	1
35	в связи с	4	1
36	вместо того чтобы	2	1
37	мы видели что	1	1
38	в других случаях	2	1
39	указать на то	1	1
40	вовсе не в	1	1
41	мы не можем	1	1
42	он не получит	1	1
43	что наряду с	1	1
44	нельзя сказать чтобы	1	1
45	связи с этим	1	1
46	это значит что	1	1
47	можем сказать что	1	1
48	в себе в	1	1
49	всех этих случаях	2	1
50	к тому же	2	1
51	и т д	18	1
