N	3gram	Tiupa_Lite_2	Vladivir
1	в том что	5	9
2	тем не менее	2	6
3	что же касается	1	5
4	и то что	1	5
5	по крайней мере	2	4
6	с точки зрения	3	3
7	в отличие от	1	3
8	в то же	9	3
9	не в том	1	3
10	в конце концов	1	3
11	то же время	9	3
12	о том что	2	3
13	не говоря уже	2	2
14	можно было бы	1	2
15	говоря уже о	2	2
16	в данном случае	3	2
17	в том чтобы	3	2
18	в свою очередь	1	2
19	а в том	1	2
20	и в году	1	2
21	после того как	1	2
22	как мы видели	1	2
23	тех пор пока	1	1
24	а не с	1	1
25	но то что	1	1
26	но даже и	1	1
27	в том числе	2	1
28	в этом случае	2	1
29	он не может	1	1
30	я в этом	1	1
31	и в то	1	1
32	бы то ни	1	1
33	только то что	1	1
34	в этом отношении	3	1
35	мы с ним	1	1
36	а в конце	1	1
37	вместе с тем	1	1
38	что в сравнении	1	1
39	в году но	1	1
40	одно что со	1	1
41	в самом начале	1	1
42	в стихотворении с	1	1
43	как и следовало	1	1
44	в первый раз	2	1
45	в ноябре года	1	1
46	к этой книге	1	1
47	не только как	1	1
48	нам представляется что	1	1
49	и наконец в	1	1
50	не может быть	7	1
51	может быть названа	1	1
52	в свое время	2	1
53	ничего общего с	1	1
54	вместе с ним	1	1
55	до тех пор	1	1
56	в этом же	1	1
57	и притом в	1	1
58	случае мы не	1	1
59	имел в виду	1	1
60	еще в году	2	1
61	речь шла о	1	1
62	и прежде всего	1	1
63	о гораздо более	1	1
64	за то что	2	1
65	а по существу	1	1
66	но тем что	3	1
67	в сравнении с	2	1
68	для того чтобы	1	1
69	как нам представляется	1	1
70	в своем внутреннем	1	1
71	том что только	1	1
