N	2gram	Voloshinov_1	Tvorches
1	и в	3	21
2	в то	1	15
3	то же	1	13
4	в его	1	13
5	же время	1	12
6	и на	1	7
7	не только	1	7
8	и не	1	7
9	не менее	1	6
10	и все	1	6
11	для него	1	6
12	может быть	1	5
13	а не	1	5
14	не может	4	4
15	один из	2	4
16	в каждом	1	3
17	достоевского и	2	3
18	но и	1	3
19	подхода к	1	3
20	в ней	1	2
21	если в	2	2
22	к тому	1	2
23	во второй	1	2
24	может не	1	2
25	второй части	1	2
26	этой проблемы	1	2
27	русской литературы	1	2
28	событий и	1	1
29	он в	1	1
30	на месте	1	1
31	тому что	1	1
32	русского литературного	1	1
33	и должно	1	1
34	в школе	1	1
35	из контекста	1	1
36	связи с	1	1
37	может и	1	1
38	о литературе	1	1
