N	3gram	Nazirov_Vr_1	FransuaR
1	то же время	4	8
2	в то же	4	8
3	в конце концов	1	4
4	и в то	1	4
5	это и есть	1	3
6	с другой стороны	1	3
7	имеется в виду	1	2
8	с точки зрения	2	2
9	в то время	1	2
10	о том что	1	2
11	в ту эпоху	1	2
12	а следовательно и	1	1
13	да и в	1	1
14	и все что	1	1
15	между прочим и	1	1
16	по преимуществу на	1	1
17	на первый план	1	1
18	до сих пор	1	1
19	и не может	1	1
20	а также в	1	1
21	в той же	1	1
22	при этом он	1	1
23	в этом отношении	1	1
24	и то что	1	1
25	одно и то	1	1
26	в это время	1	1
27	как раз в	2	1
28	но в то	2	1
29	тем что он	1	1
30	с тех пор	1	1
31	на этот раз	1	1
32	на первый взгляд	1	1
33	и то же	1	1
34	может быть и	1	1
35	а с другой	1	1
36	раз в это	1	1
37	все же не	1	1
38	в связи с	3	1
39	не может быть	2	1
40	далеко не все	1	1
41	в свою очередь	1	1
42	все в них	1	1
43	но это не	1	1
44	в соответствии с	1	1
45	в том что	2	1
46	в том же	1	1
