N	2gram	Propp_Morf_1	Hudozhes
1	в качестве	5	19
2	состоит в	2	16
3	и не	12	16
4	не только	4	15
5	и в	13	15
6	в том	6	15
7	тогда как	2	13
8	может быть	52	13
9	в частности	2	13
10	при этом	1	12
11	и его	1	12
12	а в	7	12
13	но не	4	11
14	в этом	14	11
15	в себе	1	11
16	то же	7	10
17	по отношению	4	10
18	представляет собой	17	10
19	как бы	3	10
20	так и	6	10
21	а не	11	10
22	отношению к	4	10
23	но и	4	10
24	точки зрения	2	9
25	в его	1	9
26	в рамках	1	8
27	себя в	1	8
28	отличие от	1	7
29	но в	2	7
30	в то	3	7
31	с другой	8	7
32	с его	2	6
33	отношение к	1	6
34	том что	4	6
35	не в	3	6
36	в основе	1	6
37	приводит к	2	6
38	не может	14	6
39	что в	8	6
40	более или	2	5
41	то что	8	5
42	ни в	1	5
43	могут быть	16	5
44	с ее	1	5
45	можно сказать	2	5
46	а также	4	5
47	того что	3	5
48	только в	2	5
49	уже не	2	5
50	между ними	1	5
51	другой стороны	4	5
52	или менее	2	5
53	и то	1	4
54	мы имеем	9	4
55	говорить о	3	4
56	еще не	3	4
57	хотя и	3	4
58	и как	5	4
59	он не	3	4
60	в другом	2	4
61	и тем	2	4
62	в этих	13	4
63	в ходе	4	4
64	в своей	1	4
65	не столько	1	4
66	входит в	2	4
67	между тем	5	4
68	в форме	6	4
69	для него	1	4
70	со стороны	3	4
71	прежде всего	9	4
72	а на	3	4
73	не знает	1	4
74	как это	3	4
75	например в	2	4
76	к тому	4	4
77	по пути	1	4
78	сказать что	2	4
79	и ее	3	3
80	в целом	3	3
81	в виду	1	3
82	герой не	2	3
83	как уже	2	3
84	и к	4	3
85	в которой	3	3
86	он должен	2	3
87	одно и	1	3
88	его в	2	3
89	это не	6	3
90	как и	3	3
91	с точки	2	3
92	но он	1	3
93	тем не	5	3
94	их в	1	3
95	однако в	2	3
96	не менее	5	3
97	в русской	1	3
98	как раз	1	3
99	потому что	3	3
100	не будет	1	3
101	в пределах	3	3
102	читателя в	1	3
103	мог бы	1	3
104	если бы	2	3
105	и что	2	3
106	того или	1	3
107	что он	4	3
108	к нему	3	3
109	во втором	3	3
110	во всей	1	3
111	в области	1	3
112	далеко не	5	3
113	в рассказе	1	3
114	не на	2	3
115	по своему	2	3
