N	3gram	Nazirov_Tr_1	StatiiOP
1	в том что	2	11
2	и т п	1	6
3	не может быть	1	5
4	о том что	2	4
5	во всяком случае	1	4
6	в то же	5	3
7	в конце концов	1	3
8	то же время	5	3
9	бориса годунова и	1	3
10	в связи с	1	3
11	с самого начала	1	2
12	и в этом	1	2
13	к тому что	1	2
14	он считает что	1	2
15	но все же	2	2
16	у него есть	1	2
17	тем не менее	1	2
18	в чем же	1	1
19	от бориса годунова	1	1
20	уже не к	1	1
21	сам по себе	1	1
22	в одном из	1	1
23	и в частности	2	1
24	себя а за	1	1
25	объясняется тем что	1	1
26	не только не	1	1
27	но в конце	1	1
28	отметить что в	1	1
29	что в ней	1	1
30	уже в году	1	1
31	объясняется и то	1	1
32	в стихах и	1	1
33	в году в	2	1
34	за себя а	1	1
35	никогда не был	1	1
36	и в самом	2	1
37	в применении к	1	1
38	может быть не	1	1
39	в самом деле	1	1
40	не может жить	1	1
41	не за себя	1	1
42	том что он	1	1
43	прежде всего необходимо	1	1
44	в известной степени	1	1
45	в общем смысле	1	1
46	то что он	1	1
47	на вопрос о	1	1
