N	2gram	Losev_Prob_2	formyVre
1	и в	35	50
2	то есть	39	33
3	в этом	17	25
4	в нем	1	24
5	и его	1	16
6	в литературе	1	16
7	прежде всего	11	15
8	как мы	5	14
9	и не	37	14
10	в его	7	13
11	вовсе не	37	13
12	как раз	8	13
13	так и	7	12
14	то же	5	11
15	мы уже	3	11
16	таким образом	4	11
17	может быть	18	11
18	и как	4	10
19	но в	6	10
20	времени и	1	10
21	с его	1	9
22	все эти	7	9
23	роль в	2	9
24	не только	24	9
25	в то	6	9
26	ничего не	10	9
27	в том	12	9
28	в конце	7	9
29	и др	2	9
30	и т	6	8
31	и на	5	8
32	в самом	5	8
33	ни в	6	8
34	но и	16	8
35	и их	3	8
36	как и	5	8
37	так сказать	1	7
38	характер и	1	7
39	для себя	9	7
40	времени в	1	7
41	и во	1	7
42	не было	3	7
43	в условиях	2	7
44	время в	1	6
45	во всех	2	6
46	как в	1	6
47	с этим	5	6
48	все же	8	6
49	лишь в	3	6
50	это не	1	6
51	и того	3	6
52	в их	3	6
53	так как	7	6
54	с ее	1	6
55	в дальнейшем	1	6
56	связи с	5	6
57	то что	38	6
58	в частности	5	6
59	не может	13	6
60	так же	5	6
61	в результате	4	6
62	и все	5	6
63	и до	1	5
64	время как	1	5
65	еще не	10	5
66	но не	4	5
67	и речи	3	5
68	отнюдь не	5	5
69	не в	2	5
70	он не	2	5
71	всех этих	4	5
72	значение в	4	5
73	с самим	3	5
74	в основе	3	5
75	того чтобы	2	5
76	точки зрения	2	5
77	только и	3	5
78	но все	2	5
79	в пределах	1	5
80	если бы	4	5
81	в пространстве	1	5
82	для того	3	5
83	в связи	5	5
84	что в	11	5
85	и то	10	4
86	и это	5	4
87	мы и	6	4
88	конечно и	1	4
89	в ней	2	4
90	в своем	4	4
91	конечно не	2	4
92	то время	1	4
93	раз в	1	4
94	время и	2	4
95	и с	10	4
96	в них	2	4
97	том что	19	4
98	не имеет	7	4
99	потому что	13	4
100	как человек	1	4
101	здесь не	2	4
102	было и	1	4
103	или как	2	4
104	и следовательно	4	4
105	только в	14	4
106	между этими	2	4
107	именно как	4	4
108	до конца	1	4
109	на этой	2	4
110	нет ничего	2	4
111	в той	2	4
112	все это	4	4
113	между собой	5	4
114	кроме того	5	4
115	и для	6	4
116	вполне понятно	1	4
117	том числе	2	4
118	отношения к	1	3
119	в движение	1	3
120	по преимуществу	2	3
121	не имеют	1	3
122	в какой-то	2	3
123	есть не	6	3
124	мы не	7	3
125	большую роль	2	3
126	в виду	8	3
127	всем этим	3	3
128	значение и	8	3
129	себе и	2	3
130	хотя и	3	3
131	в себе	5	3
132	и те	1	3
133	при этом	3	3
134	вообще не	4	3
135	в основу	1	3
136	его в	3	3
137	входит в	2	3
138	с другими	5	3
139	здесь нет	1	3
140	для них	3	3
141	место и	1	3
142	и уже	1	3
143	в этих	4	3
144	в отношении	4	3
145	самого человека	1	3
146	мы говорили	1	3
147	но эта	3	3
148	что было	1	3
149	их в	4	3
150	но они	1	3
151	друг друга	1	3
152	чем не	1	3
153	жизни не	1	3
154	этом отношении	1	3
155	не могут	4	3
156	к тому	3	3
157	самим собою	1	3
158	в порядке	1	3
159	нас в	3	3
160	что и	2	3
161	во всей	1	3
162	с нашей	1	3
163	один из	3	3
164	одной из	1	3
165	поэтому и	1	3
166	и ее	2	3
167	с одной	5	3
168	в качестве	2	3
169	только на	9	3
170	здесь это	1	3
171	же в	1	3
172	был бы	6	3
173	в одном	1	3
174	до сих	4	3
175	именно в	1	3
176	мы еще	3	3
177	себя и	1	3
178	что не	5	3
179	только к	1	3
180	с тем	3	3
181	быть только	3	3
182	а не	10	3
183	нашей точки	1	3
184	мира в	1	3
185	в одно	2	3
186	вместе с	2	3
187	и потому	1	3
188	да и	10	3
189	сих пор	4	3
190	и времени	2	3
191	или в	2	3
192	еще более	2	3
193	а в	4	3
194	не знает	3	3
195	сказать что	24	3
196	они не	1	3
197	к этому	1	3
198	в таком	11	3
199	во всяком	13	3
200	смысле слова	7	2
201	также и	12	2
202	же как	1	2
203	здесь и	1	2
204	к другому	1	2
205	той же	2	2
206	их и	1	2
207	вопрос о	3	2
208	на себя	1	2
209	на них	1	2
210	друг к	2	2
211	совсем не	7	2
212	мы будем	1	2
213	а только	6	2
214	не входит	1	2
215	можно прямо	1	2
216	нет и	3	2
217	в истории	3	2
