N	4gram	Losev_Prob_5	Vladivir
1	дело в том что	2	4
2	в то же время	1	4
3	еще и потому что	1	2
4	как мы увидим ниже	1	2
5	о том что он	1	2
6	может быть никакой речи	1	1
7	и о том что	2	1
8	уже о том что	1	1
9	что у него есть	1	1
10	говоря уже о том	1	1
11	а с другой стороны	3	1
12	но даже и просто	1	1
13	не худо было бы	1	1
14	и в этом смысле	1	1
15	достаточно указать хотя бы	1	1
16	указывает на то что	1	1
17	не может быть никакой	1	1
18	не что иное как	3	1
19	не говоря уже о	1	1
20	в то время как	3	1
21	с другой стороны не	1	1
22	и вместе с тем	1	1
23	бы то ни было	1	1
24	мы должны сказать что	1	1
25	можно сказать что здесь	1	1
26	ни в чем не	1	1
27	указать хотя бы на	1	1
28	и в частности для	1	1
29	то можно сказать что	1	1
30	также и то что	2	1
31	но в то же	1	1
