N	3gram	Tiupa_Disk_1	Istorich
1	не может быть	3	7
2	тем не менее	1	6
3	более или менее	2	5
4	с другой стороны	3	5
5	до сих пор	1	5
6	в большинстве случаев	1	4
7	так например в	1	4
8	с одной стороны	9	4
9	на то что	1	4
10	в том что	13	4
11	дело в том	1	3
12	по отношению к	9	3
13	то же самое	2	3
14	в связи с	1	3
15	о том что	5	3
16	но все же	1	3
17	в чистом виде	1	2
18	вместе с тем	1	2
19	как будто бы	1	2
20	в отличие от	4	2
21	о царских детях	1	2
22	большей или меньшей	2	2
23	с самого начала	1	2
24	за тридевять земель	1	2
25	до наших дней	1	1
26	никогда не было	1	1
27	а иногда и	1	1
28	не только по	1	1
29	нами не как	1	1
30	мы имеем дело	2	1
31	можно рассматривать как	1	1
32	прежде всего в	1	1
33	не говоря уже	2	1
34	и в особенности	2	1
35	подобно тому как	2	1
36	в этом смысле	1	1
37	в соответствии с	2	1
38	о том как	1	1
39	в этом случае	1	1
40	одной стороны и	2	1
41	не было и	1	1
42	из них в	1	1
43	это приводит к	1	1
44	сами по себе	2	1
45	при этом он	1	1
46	имеем дело не	1	1
47	только то что	1	1
48	к тому или	1	1
49	лежат в основе	1	1
50	как правило в	1	1
51	в противном случае	1	1
52	говоря уже о	2	1
53	и что это	1	1
54	в том случае	1	1
55	в значительной степени	2	1
56	едва ли не	2	1
57	а не только	2	1
58	в том чтобы	2	1
59	дело не с	1	1
60	не только в	2	1
61	тому или иному	1	1
62	а не событиям	1	1
63	и сказкой здесь	1	1
64	а по своей	1	1
65	а не как	1	1
66	в большей или	1	1
67	не в том	3	1
68	в этом направлении	1	1
69	тем или иным	1	1
70	с большей или	1	1
71	на этом пути	1	1
72	особое внимание на	1	1
73	вопросом о том	1	1
74	по себе не	2	1
75	между собой и	1	1
76	того или иного	1	1
77	легко заметить что	1	1
78	это отнюдь не	1	1
79	в действительности это	1	1
80	работа представляет собой	1	1
81	содержит в себе	1	1
82	может быть признано	1	1
83	тех или иных	1	1
84	дело не в	1	1
85	внимание на то	1	1
86	который фигурирует в	1	1
87	что во всех	1	1
88	к тому же	4	1
89	пока еще не	3	1
90	в этом отношении	1	1
91	до известной степени	1	1
