N	2gram	Medvedev_B_1	FransuaR
1	и в	1	56
2	таким образом	1	17
3	так и	1	13
4	до конца	1	11
5	еще не	1	10
6	в эпоху	1	10
7	и не	2	9
8	не только	1	8
9	все это	2	8
10	и на	1	7
11	прежде всего	1	6
12	в пределах	1	5
13	в области	1	5
14	не было	1	5
15	что в	1	5
16	и потому	1	4
17	в ней	2	4
18	за пределы	1	4
19	что все	1	4
20	и ее	1	4
21	и более	1	4
22	кроме того	1	3
23	и о	1	3
24	одной из	1	3
25	на самом	1	2
26	с другой	1	2
27	в своей	1	2
28	о них	1	2
29	в значительной	1	2
30	и во	1	2
31	было бы	1	2
32	далеко не	1	2
33	и исторической	1	2
34	в данном	1	2
35	а не	1	2
36	в речи	1	2
37	все же	1	2
38	между ними	1	2
39	другой стороны	1	2
40	вопрос о	1	1
41	определение жанра	1	1
42	стиля и	1	1
43	не следует	1	1
44	можно было	2	1
45	же не	1	1
46	почти совершенно	1	1
47	как будто	1	1
48	представляется нам	1	1
49	этой книги	1	1
50	со всем	1	1
51	выходит за	1	1
52	всего в	1	1
53	в книге	1	1
54	и ограниченно	1	1
55	выпадают из	1	1
56	из ее	1	1
57	тем более	1	1
58	из своей	1	1
