N	2gram	Bakhtin_Fr_7	Tragedij
1	и в	41	18
2	в романе	7	10
3	в году	5	9
4	в этом	15	9
5	не только	5	8
6	он сам	1	7
7	и с	4	7
8	и на	4	7
9	может быть	4	7
10	как бы	7	7
11	и не	7	7
12	но в	8	6
13	и его	9	6
14	в образе	4	6
15	же время	9	6
16	что он	3	6
17	у него	6	6
18	то же	13	5
19	все же	1	5
20	что это	4	5
21	это не	6	5
22	как и	14	5
23	несмотря на	3	5
24	в то	10	5
25	в дальнейшем	1	5
26	так и	10	5
27	не может	3	5
28	к жизни	4	5
29	я не	3	4
30	еще не	2	4
31	в себе	11	4
32	в этой	13	4
33	в нем	7	4
34	об этом	1	4
35	том что	4	4
36	что я	1	4
37	и что	1	4
38	но и	9	4
39	и даже	1	4
40	прежде всего	11	4
41	так же	5	4
42	но это	3	4
43	все это	10	4
44	этот образ	2	4
45	что в	9	4
46	и все	14	4
47	то что	8	4
48	в мире	3	3
49	своего рода	2	3
50	эпизод с	11	3
51	как в	5	3
52	в своем	9	3
53	и как	2	3
54	все эти	13	3
55	при этом	3	3
56	то есть	20	3
57	должно быть	4	3
58	тем самым	3	3
59	о чем	1	3
60	своего отца	1	3
61	что вы	1	3
62	с ее	3	3
63	жизнь и	2	3
64	с ним	2	3
65	на страницах	1	3
66	к нему	5	3
67	в его	12	3
68	один из	1	3
69	уже в	5	3
70	для него	6	3
71	никто не	10	3
72	в конце	8	3
73	как это	1	3
74	в основном	1	3
75	этого романа	1	2
76	вряд ли	1	2
77	в первом	1	2
78	из самых	3	2
79	и до	6	2
80	а как	1	2
81	от счастья	1	2
82	никогда не	2	2
83	и то	2	2
84	он был	3	2
85	не был	1	2
86	с его	2	2
87	отношение к	2	2
88	отличие от	1	2
89	не просто	2	2
90	так что	1	2
91	перед нами	2	2
92	говорит что	2	2
93	имеет в	1	2
94	в самом	1	2
95	жизнью и	1	2
96	по словам	1	2
97	он не	4	2
98	но все	4	2
99	что все	2	2
100	его в	3	2
101	отца и	1	2
102	в это	3	2
103	ни в	6	2
104	с тем	1	2
105	не мог	2	2
106	это наслаждение	1	2
107	одном из	4	2
108	но эта	1	2
109	не в	9	2
110	но они	1	2
111	одна из	4	2
112	не имеет	3	2
113	не могут	1	2
114	его за	1	2
115	он и	1	2
116	к тому	2	2
117	и это	5	2
118	году в	1	2
119	в ее	1	2
120	данном случае	1	2
121	как у	1	2
122	ничего не	4	2
123	в xii	1	2
124	и здесь	4	2
125	о том	6	2
126	в глаза	1	2
127	времени в	1	2
128	что и	5	2
129	бросается в	1	2
130	в том	11	2
131	который в	1	2
132	и ее	2	2
133	уже не	2	2
134	в виде	1	2
135	не так	1	2
136	в известной	1	2
137	в одном	3	2
138	тем что	3	2
139	писателя и	1	2
140	говорит о	1	2
141	до конца	2	2
142	ничем не	3	2
143	в рассказе	1	2
144	но особенно	2	2
145	в данном	2	2
146	еще раз	1	2
147	в силах	2	2
148	это уже	1	2
149	от всего	1	2
150	потому что	5	2
151	в частности	1	2
152	в таком	1	2
153	ту же	2	1
154	одним из	1	1
155	например в	3	1
156	рассказ об	1	1
157	он считает	1	1
158	с жизнью	1	1
159	человека и	1	1
160	сам по	1	1
161	и др	2	1
162	самом деле	1	1
163	это и	1	1
164	и есть	3	1
165	последней главе	3	1
166	прием и	1	1
167	загробной жизни	1	1
168	смысл этого	1	1
169	проникает в	3	1
170	должна быть	1	1
171	хлеб и	1	1
172	той же	3	1
173	не исключено	1	1
174	xvii века	2	1
175	и новые	2	1
176	и развернул	1	1
177	ему в	1	1
178	а теперь	1	1
179	в виду	4	1
180	и сыном	1	1
181	подчеркнуть что	1	1
182	в ней	5	1
183	что судьба	1	1
184	и высокое	1	1
185	встречается в	1	1
186	быть в	1	1
187	в чем	2	1
188	и мира	2	1
189	во всех	3	1
190	романа не	1	1
191	на другой	2	1
192	но не	1	1
193	значение и	1	1
194	свою жизнь	1	1
195	а он	1	1
196	с совершенно	1	1
197	тогда как	1	1
198	некоторые черты	1	1
199	за пределы	1	1
200	в настоящем	1	1
201	это говорит	1	1
202	тебе и	1	1
203	чем же	1	1
204	в истории	1	1
