N	2gram	Potebnia_M_4	formyVre
1	и в	23	50
2	то есть	34	33
3	в этом	23	25
4	в нем	7	24
5	в греческом	2	24
6	человека в	2	17
7	и его	2	16
8	прежде всего	1	15
9	как мы	2	14
10	и не	18	14
11	в его	5	13
12	вовсе не	7	13
13	так и	6	12
14	человека и	3	11
15	то же	14	11
16	мы уже	3	11
17	таким образом	24	11
18	может быть	26	11
19	и как	2	10
20	но в	8	10
21	времени и	1	10
22	все эти	3	9
23	роль в	1	9
24	не только	10	9
25	в то	4	9
26	ничего не	1	9
27	же время	3	9
28	в том	23	9
29	в других	2	9
30	и др	2	9
31	и т	7	8
32	того же	1	8
33	и на	3	8
34	в самом	3	8
35	т п	4	8
36	но и	11	8
37	и их	3	8
38	как и	14	8
39	жизни и	1	8
40	это время	1	7
41	так сказать	5	7
42	времени в	1	7
43	и во	1	7
44	не было	12	7
45	например в	3	6
46	во всех	1	6
47	как в	7	6
48	с этим	7	6
49	все же	1	6
50	не оставляет	1	6
51	лишь в	3	6
52	это не	7	6
53	и того	1	6
54	в их	1	6
55	так как	14	6
56	в ее	2	6
57	связи с	3	6
58	у него	1	6
59	то что	29	6
60	человеческой жизни	1	6
61	в частности	1	6
62	не может	11	6
63	так же	4	6
64	и все	4	6
65	отношению к	8	5
66	и до	3	5
67	еще не	3	5
68	но не	1	5
69	и речи	1	5
70	и у	2	5
71	не в	11	5
72	этот процесс	1	5
73	он не	2	5
74	значение в	1	5
75	одного и	1	5
76	того чтобы	4	5
77	точки зрения	4	5
78	не могло	1	5
79	в разных	3	5
80	могут быть	7	5
81	но все	1	5
82	в пределах	1	5
83	в образе	2	5
84	если бы	13	5
85	в пространстве	1	5
86	для того	6	5
87	в связи	1	5
88	что в	17	5
89	и то	5	4
90	и это	2	4
91	мы и	2	4
92	в ней	2	4
93	в своем	8	4
94	конечно не	2	4
95	то время	1	4
96	но на	1	4
97	время и	1	4
98	и с	4	4
99	в них	3	4
100	том что	12	4
101	в котором	4	4
102	в процессе	3	4
103	не имеет	5	4
104	потому что	33	4
105	как человек	3	4
106	было и	2	4
107	или как	1	4
108	и следовательно	3	4
109	могло быть	1	4
110	только в	15	4
111	между этими	1	4
112	и проч	18	4
113	влияние на	2	4
114	нет ничего	3	4
115	в той	4	4
116	все это	5	4
117	кроме того	3	4
118	и для	2	4
119	том числе	1	4
120	а как	2	3
121	есть не	4	3
122	всего того	1	3
123	мы не	8	3
124	большую роль	1	3
125	в сущности	2	3
126	в виду	3	3
127	значение и	2	3
128	по отношению	10	3
129	хотя и	5	3
130	в себе	14	3
131	и те	1	3
132	при этом	15	3
133	вообще не	1	3
134	его в	4	3
135	входит в	1	3
136	и других	3	3
137	с другими	4	3
138	между ними	4	3
139	в этих	3	3
140	эта черта	1	3
141	в отношении	1	3
142	но эта	2	3
143	их в	3	3
144	но они	1	3
145	друг друга	2	3
146	этом отношении	1	3
147	не могут	2	3
148	к тому	3	3
149	самим собою	1	3
150	все его	1	3
151	нас в	2	3
152	что и	7	3
153	в форме	1	3
154	один из	2	3
155	мы видим	2	3
156	одной из	1	3
157	с одной	1	3
158	в качестве	1	3
159	только на	4	3
160	же в	1	3
161	одно из	1	3
162	в одном	4	3
163	до сих	4	3
164	именно в	3	3
