N	2gram	Medvedev_I_1	VeschiIm
1	и не	2	28
2	и в	1	26
3	есть только	1	17
4	того что	1	13
5	и с	3	9
6	ничего не	2	8
7	говорить о	1	7
8	в этом	2	7
9	себя в	1	7
10	жизни и	1	6
11	что в	2	6
12	для него	1	6
13	а если	1	6
14	же это	1	5
15	того же	1	5
16	а в	1	5
17	что для	1	5
18	если бы	1	5
19	тем что	1	4
20	то и	1	4
21	с а	1	4
22	и о	1	4
23	так то	1	4
24	как только	1	4
25	с другой	1	4
26	я не	1	4
27	должен быть	2	4
28	но когда	1	3
29	бы в	1	3
30	о ней	1	3
31	бы что	2	3
32	так и	1	3
33	нисколько не	1	3
34	того чтобы	1	3
35	без этого	1	3
36	и сам	1	3
37	а с	1	3
38	никогда не	1	3
39	в основе	1	3
40	все это	1	3
41	как о	1	3
42	самого себя	2	2
43	от этого	1	2
44	данной личности	1	2
45	для того	1	2
46	это было	1	2
47	и та	1	2
48	он не	2	2
49	не случайно	1	2
50	то она	1	2
51	все эти	1	1
52	и ничего	1	1
53	и со	1	1
54	оба они	2	1
55	гипотеза и	1	1
56	и без	1	1
57	было не	1	1
58	и очень	1	1
59	стало быть	1	1
60	с любым	1	1
61	другое дело	1	1
62	а также	1	1
63	и еще	1	1
64	очевидно что	1	1
65	и и	1	1
66	понятий и	1	1
67	в них	1	1
68	другой стороны	1	1
69	ничего в	1	1
70	та и	1	1
71	нечто и	1	1
72	по существу	1	1
73	во многом	1	1
