N	2gram	Losev_Vesc_1	EvropaiC
1	таким образом	8	32
2	в том	8	31
3	и в	21	24
4	том что	8	20
5	все эти	3	19
6	не может	17	18
7	то что	27	17
8	может быть	16	15
9	все же	4	15
10	точки зрения	5	13
11	самом деле	4	12
12	в своем	6	12
13	до сих	1	12
14	в этом	4	12
15	сих пор	1	12
16	с этим	3	11
17	все это	5	11
18	во всех	2	10
19	культуры и	1	10
20	так и	3	10
21	из себя	3	10
22	мы знаем	1	10
23	как бы	12	10
24	все что	1	10
25	того же	5	9
26	на то	4	9
27	при этом	1	9
28	как и	8	9
29	с другом	1	9
30	друг с	1	9
31	в результате	3	9
32	что в	9	9
33	а и	9	8
34	в самом	9	8
35	с точки	3	8
36	мы говорили	2	8
37	не в	5	8
38	идет речь	1	8
39	ясно что	8	8
40	если бы	5	8
41	так же	1	8
42	и все	5	8
43	на самом	1	7
44	из этих	1	7
45	в силу	3	7
46	о которых	1	7
47	или менее	1	7
48	не менее	3	7
49	по существу	2	7
50	того чтобы	3	7
51	по своей	2	7
52	к тому	3	7
53	для этого	4	7
54	о том	6	7
55	и что	15	7
56	что он	1	7
57	для того	2	7
58	но и	18	7
59	и не	29	7
60	более или	1	7
61	о котором	1	7
62	из этого	1	7
63	должна быть	4	6
64	еще не	8	6
65	в общем	1	6
66	тогда как	1	6
67	в этой	3	6
68	несмотря на	1	6
69	с ним	8	6
70	что и	3	6
71	при чем	1	6
72	того что	8	6
73	говорили выше	1	6
74	только в	14	6
75	так что	5	6
76	так как	7	6
77	мы можем	4	6
78	с другой	6	6
79	вместе с	1	6
80	отличается от	7	6
81	у них	1	6
82	между двумя	1	5
83	из всех	1	5
84	как к	4	5
85	и к	1	5
86	но в	5	5
87	в которой	1	5
88	что это	13	5
89	в себе	14	5
90	тому же	1	5
91	не только	36	5
92	и если	2	5
93	не будет	12	5
94	что все	2	5
95	и с	8	5
96	его в	2	5
97	между собою	6	5
98	и без	3	5
99	и истории	1	5
100	в то	3	5
101	как будто	1	5
102	по сравнению	7	5
103	в его	2	5
104	большею частью	1	5
105	потому что	16	5
106	и их	7	5
107	у него	2	5
108	именно в	1	5
109	далеко не	1	5
110	ничем не	3	5
111	другой стороны	2	5
112	сравнению с	6	5
113	быть и	1	5
114	и для	9	5
115	и от	3	5
116	к этому	1	5
117	и то	10	4
118	то же	6	4
119	мы уже	3	4
120	та же	1	4
121	из того	2	4
122	между собой	1	4
123	отношение к	1	4
124	данный момент	1	4
125	что как	1	4
126	хотя и	4	4
127	всех этих	1	4
128	факт что	1	4
129	из них	4	4
130	должно быть	6	4
131	и культуры	1	4
132	признать что	1	4
133	тем не	3	4
134	из которых	1	4
135	эта культура	1	4
136	что эта	1	4
137	тех кто	2	4
138	в дальнейшем	1	4
139	никогда не	2	4
140	будет всегда	1	4
141	на вопрос	1	4
142	и у	3	4
143	если мы	8	4
144	не есть	49	4
145	в виде	1	4
146	не так	1	4
147	в конце	2	4
148	а с	3	4
149	социальной жизни	1	4
150	в в	2	4
151	конце концов	2	4
152	в течение	1	4
153	это есть	7	4
154	самого себя	1	4
155	то ясно	1	4
156	мы должны	2	4
157	ибо в	1	4
158	хотя бы	6	4
159	состоит из	1	4
160	совершенно не	5	4
161	и культура	1	4
162	же как	1	3
163	с в	2	3
164	вопрос о	1	3
165	не вполне	2	3
166	но даже	3	3
167	во имя	1	3
168	в данном	5	3
169	мы будем	1	3
170	очевидно что	1	3
171	в истории	1	3
172	и наконец	1	3
173	на нас	2	3
174	которых идет	1	3
175	так или	4	3
176	в нем	2	3
177	и по	1	3
178	и может	2	3
179	они должны	1	3
180	на этой	1	3
181	заключается в	1	3
182	это не	5	3
183	в жизни	3	3
184	с тем	5	3
185	и того	2	3
186	одного и	1	3
187	в этих	1	3
188	что если	1	3
189	таким же	1	3
190	представление о	1	3
191	только те	1	3
192	для нас	2	3
193	в разных	4	3
194	во всем	1	3
195	уже и	1	3
196	от того	3	3
197	у нас	7	3
198	должны быть	4	3
199	что оно	8	3
200	ничего общего	1	3
201	и это	14	3
202	то ни	4	3
203	данном случае	2	3
204	жизнь и	1	3
205	с одной	3	3
206	может не	2	3
207	тот же	3	3
208	сказали что	1	3
209	даже если	1	3
210	в эти	1	3
211	конечно не	1	3
212	при помощи	2	3
213	отличие от	1	3
214	или иначе	4	3
215	прежде всего	9	3
216	а наоборот	1	3
217	же не	1	3
218	и потому	5	3
219	в с	2	3
220	что только	3	3
221	не то	4	3
222	бы в	5	3
223	только что	2	3
224	а в	4	3
225	что мы	14	3
226	можно назвать	1	3
227	всеми прочими	1	2
228	ту же	2	2
229	в котором	3	2
230	что эти	1	2
231	также и	6	2
232	почти все	2	2
233	в сущности	4	2
234	так чтобы	2	2
235	с ее	6	2
236	и ее	18	2
237	мы и	1	2
238	в ней	12	2
239	свою очередь	4	2
240	от себя	1	2
241	бы то	4	2
242	во всяком	3	2
243	к такому	1	2
244	только тогда	3	2
245	совершенно ясно	2	2
246	и будет	1	2
247	что они	6	2
248	из таких	1	2
249	части в	1	2
250	есть в	1	2
251	и где	1	2
252	то в	4	2
253	если он	1	2
254	но на	2	2
255	что она	15	2
256	о которой	2	2
257	и социальной	1	2
258	том чтобы	1	2
259	из него	1	2
260	а это	4	2
261	а затем	2	2
262	конечно в	1	2
263	только одно	2	2
264	со своими	1	2
265	и уже	1	2
266	мы видели	1	2
267	потому и	1	2
268	в один	1	2
269	но если	8	2
270	никто не	1	2
271	представить себе	1	2
272	можно ли	7	2
273	образом и	1	2
274	и более	1	2
275	тому что	2	2
276	она не	4	2
277	то с	3	2
278	тем самым	1	2
279	будет только	1	2
280	тогда когда	5	2
281	одна из	5	2
282	в основе	3	2
283	из предыдущего	2	2
284	говорить о	6	2
285	только не	2	2
286	в самой	2	2
287	и весь	1	2
288	этих двух	2	2
289	на этом	2	2
290	что на	2	2
291	всех прочих	3	2
292	к таким	1	2
293	это конечно	1	2
294	сходство с	1	2
295	от нее	2	2
296	о них	1	2
297	должен быть	2	2
298	как мы	4	2
299	как не	1	2
300	только при	1	2
301	чтобы быть	3	2
302	выше что	1	2
303	в себя	13	2
304	что у	5	2
305	основанную на	1	2
306	веры в	2	2
307	в виду	2	2
308	все дело	1	2
309	сводится к	2	2
310	в другом	2	2
311	другими словами	5	2
312	не стоит	1	2
313	к нему	1	2
314	которой мы	1	2
315	во втором	2	2
316	них в	1	2
317	сил и	1	2
318	если это	2	2
319	было бы	14	2
320	но так	1	2
321	но с	2	2
322	этот вопрос	1	2
323	в вопросе	1	2
324	и так	1	2
325	жизни и	2	2
326	то и	4	2
327	ни было	4	2
328	нельзя ибо	1	2
329	к своим	1	2
330	одно из	1	2
331	для него	4	2
332	всяком случае	2	2
333	вовсе не	10	2
334	и только	3	2
335	не было	1	2
336	однако это	2	2
337	только один	2	2
338	себя и	4	2
339	одной стороны	3	2
340	отнюдь не	5	2
341	во внимание	1	2
342	ближе к	1	2
343	в одно	1	2
344	в частности	1	2
345	все то	1	2
346	независимо от	5	2
347	но не	5	2
348	что же	8	2
349	из этой	1	2
350	только то	2	2
351	с этой	4	2
352	и тому	1	2
353	между прочим	3	2
354	но для	2	2
355	говорить что	3	2
356	только мы	2	2
357	это может	2	2
358	с уже	1	2
359	и говорить	1	2
360	с ними	3	2
361	между ними	3	2
362	в свою	4	2
363	гораздо более	1	2
364	себя как	2	1
365	я и	6	1
366	образом от	1	1
367	находить в	1	1
368	предполагает что	10	1
369	указывало бы	1	1
370	и понимает	2	1
371	и пребывает	1	1
372	силы и	1	1
373	это и	6	1
374	сама себя	4	1
375	на ступени	1	1
376	что когда	1	1
377	в первом	2	1
378	из самых	2	1
379	из его	2	1
380	ведь и	5	1
381	в зависимости	1	1
382	собою в	1	1
383	той же	2	1
384	совершенно в	1	1
385	есть не	14	1
386	из всего	1	1
387	она имеет	1	1
388	мы не	6	1
389	что между	2	1
390	которую мы	1	1
391	и тут	3	1
392	из своих	1	1
393	единство и	1	1
394	имеет свою	1	1
395	время как	1	1
396	на себя	1	1
397	я не	4	1
398	зависимости от	1	1
399	с большим	1	1
400	собою и	4	1
401	большей частью	1	1
402	и самого	1	1
403	и этого	2	1
404	дело заключается	1	1
405	иное как	7	1
406	себя а	1	1
407	на их	2	1
408	это действительно	1	1
409	в различных	1	1
410	с его	1	1
411	а следовательно	2	1
412	подходить к	1	1
413	но тогда	3	1
414	и другие	1	1
415	а только	3	1
416	принципиально в	1	1
417	перед глазами	1	1
418	если в	1	1
419	себе и	1	1
420	со стороны	5	1
421	нет и	1	1
422	такой постановки	1	1
423	еще один	1	1
424	если она	1	1
425	что именно	1	1
426	понимать в	1	1
427	что ее	2	1
428	однако не	2	1
429	перед нами	2	1
430	кроме того	4	1
431	и как	8	1
432	и логически	1	1
433	а который	1	1
434	и капитализм	1	1
435	религию и	1	1
436	есть ли	6	1
437	для ее	2	1
438	от самого	1	1
439	и кто	2	1
440	от чего	2	1
441	себе как	2	1
442	а во-вторых	1	1
443	мы получаем	1	1
444	приведет к	4	1
445	сливаются в	1	1
446	не могла	1	1
447	как оно	3	1
448	главным образом	1	1
449	они совершенно	1	1
450	но именно	2	1
451	раз навсегда	2	1
452	силой и	1	1
453	перестает быть	3	1
454	одно целое	1	1
455	и еще	2	1
456	идеи и	3	1
457	в принципе	1	1
458	к одному	3	1
459	и вот	2	1
460	действительности к	1	1
461	чтобы их	1	1
462	быть потому	1	1
463	уже сказали	1	1
464	одному и	1	1
465	одно и	5	1
466	тут не	5	1
467	опять и	1	1
468	здесь мы	1	1
469	часть его	1	1
470	представьте себе	1	1
471	различие между	2	1
472	а его	1	1
473	что надо	1	1
474	знает что	2	1
475	это было	1	1
476	тут надо	1	1
477	с другими	8	1
478	и тем	3	1
479	есть всегда	4	1
480	до всякого	2	1
481	как общее	1	1
482	она и	1	1
483	теории все	1	1
484	отдельного субъекта	1	1
485	двумя одинаково	1	1
486	и различие	1	1
487	в научной	1	1
488	не мог	1	1
489	бы на	1	1
490	нужно только	1	1
491	в своей	5	1
492	что такое	12	1
493	выше всякой	1	1
494	затем и	2	1
495	нас не	1	1
496	бы к	1	1
497	не к	1	1
498	что я	24	1
499	и нужно	1	1
500	нельзя и	1	1
501	для всякого	2	1
502	строго говоря	1	1
503	как другие	1	1
504	будет несколько	1	1
505	но он	2	1
506	по крайней	4	1
507	и эти	2	1
508	их в	3	1
509	как от	1	1
510	однако в	1	1
511	с такими	1	1
512	необходимо чтобы	3	1
513	случае мы	1	1
514	в отношении	4	1
515	нею и	4	1
516	вещи не	8	1
517	чистом виде	1	1
518	будет относиться	1	1
519	а а	1	1
520	есть нечто	6	1
521	и другое	4	1
522	этого нужно	2	1
523	в науке	1	1
524	и притом	3	1
525	ее с	5	1
526	я буду	1	1
527	и сама	3	1
528	в уме	3	1
529	мы воспринимаем	1	1
530	может только	1	1
531	следовательно и	1	1
532	дело в	4	1
533	и сильно	1	1
534	только когда	1	1
535	с нами	1	1
536	к ней	2	1
537	всех своих	1	1
538	видим что	1	1
539	связанных друг	1	1
540	и относится	2	1
541	и его	2	1
542	со своим	7	1
543	всякий кто	1	1
544	только с	3	1
545	ли это	7	1
546	если только	1	1
547	не потому	6	1
548	назвать такое	1	1
549	с и	1	1
550	относиться к	1	1
551	есть только	7	1
552	есть признак	1	1
553	не знаем	2	1
554	своем уме	1	1
555	да и	3	1
556	они и	1	1
557	к пониманию	3	1
558	этот путь	1	1
559	всегда в	1	1
560	для себя	5	1
561	всех но	1	1
562	они вовсе	1	1
563	оно может	2	1
564	всем миром	1	1
565	не забудем	1	1
566	на нем	1	1
567	что составляет	1	1
568	тоже весьма	1	1
569	без всякого	4	1
570	представим себе	1	1
571	и иметь	1	1
572	об отношении	1	1
573	говорили что	1	1
574	то время	1	1
575	так в	1	1
576	приводит к	1	1
577	их различных	1	1
578	как с	4	1
579	даже что	1	1
580	сам он	1	1
581	они считают	1	1
582	сравниваем с	1	1
583	именно этот	1	1
584	можно только	4	1
585	своей собственной	1	1
586	ли эти	1	1
587	ничего не	3	1
588	или иной	1	1
589	будет уже	1	1
590	находится в	3	1
591	быть в	1	1
592	и ничем	1	1
593	язык и	1	1
594	но мы	1	1
595	никак не	3	1
596	что каждый	1	1
597	одно то	1	1
598	быть самым	1	1
599	поставить и	1	1
600	между нею	3	1
601	связанной с	1	1
602	к истине	1	1
603	том или	1	1
604	требует более	1	1
605	у другого	1	1
606	ним и	1	1
607	во всей	1	1
608	крайней мере	4	1
609	частью в	1	1
610	от этих	1	1
611	у всех	3	1
612	и следовательно	7	1
613	но тут	2	1
614	наконец и	1	1
615	психология и	1	1
616	в современной	1	1
617	тех пор	1	1
618	как из	1	1
619	один из	3	1
620	себя с	5	1
621	гораздо меньше	1	1
622	видели что	1	1
623	мы видим	2	1
624	к делу	2	1
625	уже одно	1	1
626	как нечто	2	1
627	вмещает в	1	1
628	поэтому и	1	1
629	надо знать	1	1
630	бы ни	2	1
631	большим трудом	1	1
632	тот или	1	1
633	с ярко	1	1
634	в качестве	1	1
635	же и	1	1
636	для всех	1	1
637	собою все	1	1
638	с нею	18	1
639	уже не	9	1
640	уже в	1	1
641	вопроса о	1	1
642	только на	3	1
643	в нашей	1	1
644	свидетельствует о	3	1
645	ее из	1	1
646	сделать и	1	1
647	на этих	1	1
648	в как	1	1
649	но совершенно	2	1
650	у того	1	1
651	конечно нет	2	1
652	мы находим	2	1
653	части и	1	1
654	себя от	2	1
655	для меня	2	1
656	ее не	2	1
657	не случайно	2	1
658	случае не	1	1
659	тем что	2	1
