N	2gram	Voloshinov_1	Mirosoze
1	может быть	1	30
2	не только	1	29
3	и в	3	28
4	не может	4	28
5	но и	1	25
6	а не	1	25
7	в ней	1	15
8	для него	1	11
9	и не	1	11
10	достоевского и	2	10
11	и все	1	10
12	в его	1	9
13	и на	1	6
14	нет и	1	5
15	русской литературы	1	5
16	точки зрения	1	4
17	один из	2	4
18	к тому	1	3
19	в центре	2	2
20	он в	1	2
21	если бы	1	2
22	в то	1	2
23	может не	1	2
24	мы видим	1	2
25	бы в	1	2
26	тех же	1	1
27	если в	2	1
28	в иную	1	1
29	его от	1	1
30	в каждом	1	1
31	первых своих	1	1
32	смысл и	1	1
33	лучше всего	1	1
34	и истории	1	1
35	не менее	1	1
36	ничего кроме	1	1
37	науку о	1	1
38	можно и	1	1
39	и можно	1	1
40	себя от	1	1
41	по своим	1	1
42	подхода к	1	1
43	влияния на	1	1
44	приведут к	1	1
45	можно назвать	1	1
