N	3gram	Potebnia_M_2	VerxiiNi
1	вместе с тем	1	8
2	с одной стороны	3	7
3	во всяком случае	7	6
4	более или менее	8	5
5	до сих пор	4	5
6	по крайней мере	5	5
7	для того чтобы	2	5
8	о том что	1	4
9	но все же	1	4
10	от связи с	1	3
11	главным образом в	1	3
12	в связи с	1	3
13	тем не менее	5	3
14	в том что	7	3
15	в том виде	1	2
16	и связанные с	1	2
17	друг на друга	1	2
18	потому что и	1	2
19	заключает в себе	4	2
20	с этой точки	1	2
21	то ни было	1	2
22	по сравнению с	1	2
23	то что он	1	2
24	бы то ни	1	2
25	том виде в	1	2
26	таким образом в	2	2
27	то же время	2	2
28	с одним из	1	2
29	ничего общего с	1	2
30	с самого начала	2	2
31	на то что	3	2
32	в то же	2	2
33	и в этом	1	2
34	и того же	6	1
35	а между тем	4	1
36	и в общем	1	1
37	тесную связь между	1	1
38	состоит в том	1	1
39	одном и том	1	1
40	по-видимому и в	1	1
41	одного и того	6	1
42	о том как	1	1
43	а потому что	1	1
44	мы можем знать	1	1
45	одного из своих	1	1
46	в таком случае	2	1
47	сами по себе	7	1
48	в одном и	1	1
49	но при ближайшем	1	1
50	с тем что	1	1
51	при этом не	1	1
52	на каждом шагу	1	1
53	виде в каком	1	1
54	но когда мы	1	1
55	к мысли о	1	1
56	человеком и животным	1	1
57	между человеком и	1	1
58	их отношение к	1	1
59	и сами по	3	1
60	не потому что	1	1
61	с тем какое	1	1
62	сравнению с другими	1	1
63	смысле этого слова	3	1
64	и том же	1	1
65	только в одном	1	1
66	в отличие от	1	1
67	в этом следует	1	1
68	по тому же	1	1
69	или по крайней	2	1
70	потому что в	1	1
71	все же есть	1	1
72	не в том	2	1
73	из них не	1	1
74	не только от	1	1
75	друг к другу	1	1
76	что касается до	1	1
77	с другой стороны	2	1
78	напрасно было бы	2	1
79	мы видели что	1	1
80	один и тот	1	1
81	а в том	1	1
82	не может быть	2	1
83	но с другой	1	1
84	и проч которые	1	1
85	может и не	1	1
86	но тем не	3	1
87	по всей вероятности	1	1
88	в то время	4	1
89	так и в	2	1
90	в свою очередь	6	1
91	в одном из	1	1
92	в чем именно	1	1
93	с тем с	1	1
94	к тем же	1	1
95	природы но и	1	1
96	после того как	2	1
97	на высших степенях	1	1
98	что и в	1	1
99	только тогда когда	2	1
100	и тот же	1	1
