N	2gram	Tiupa_Anal_2	Myshleni
1	и в	16	28
2	в том	12	28
3	то что	7	28
4	в этом	18	27
5	того что	2	24
6	потому что	1	22
7	том что	12	19
8	не может	4	19
9	таким образом	2	18
10	только в	4	18
11	в силу	1	17
12	что в	2	17
13	не только	16	16
14	так же	2	15
15	точки зрения	4	13
16	может быть	6	13
17	сказать что	2	13
18	мы могли	1	12
19	тому что	1	11
20	и не	12	11
21	как бы	10	11
22	к другим	1	11
23	но не	4	10
24	по отношению	4	10
25	с точки	2	10
26	в отношении	1	10
27	к тому	7	10
28	как мы	3	10
29	так как	1	10
30	но и	12	10
31	отношению к	4	10
32	было бы	3	9
33	в самом	6	8
34	тем самым	4	8
35	никогда не	3	8
36	тем что	3	8
37	еще не	2	8
38	как известно	1	7
39	того же	4	7
40	то же	4	7
41	в сущности	4	7
42	в своем	4	7
43	в которой	1	7
44	он не	2	7
45	в нем	1	7
46	заключается в	1	7
47	можно было	3	7
48	если бы	3	7
49	мы видим	1	7
50	мышления и	1	7
51	вместе с	2	7
52	в чем	1	6
53	и как	1	6
54	и к	5	6
55	как и	14	6
56	для него	4	6
57	к предмету	2	6
58	не имеет	2	6
59	тогда когда	1	6
60	же самое	1	6
61	приводит к	3	6
62	так и	15	6
63	и что	1	6
64	можно сказать	4	6
65	его в	2	6
66	так что	3	6
67	как раз	4	6
68	вообще не	2	6
69	при переходе	2	6
70	в то	2	6
71	том же	1	5
72	а другой	1	5
73	из того	1	5
74	частный случай	1	5
75	и на	6	5
76	но в	6	5
77	в этой	9	5
78	что все	2	5
79	на этой	2	5
80	и тем	4	5
81	в разных	1	5
82	с другом	1	5
83	могут быть	10	5
84	языка и	2	5
85	в пределах	9	5
86	это не	1	5
87	друг с	1	5
88	и все	3	5
89	речи и	2	5
90	и то	3	4
91	переход от	1	4
92	в первом	1	4
93	к другому	1	4
94	отношения между	1	4
95	той же	2	4
96	мы имеем	3	4
97	совпадает с	4	4
98	я не	1	4
99	во всех	4	4
100	же самые	1	4
101	самом начале	3	4
102	в себе	7	4
103	в нашем	3	4
104	на то	2	4
105	в наших	1	4
106	на этом	4	4
107	но если	1	4
108	не в	4	4
109	нас к	2	4
110	в сознании	4	4
111	что на	3	4
112	что при	1	4
113	самой своей	1	4
114	на основе	2	4
115	что и	3	4
116	именно в	3	4
117	между этими	1	4
118	в качестве	11	4
119	которые в	1	4
120	не совпадают	1	4
121	в состоянии	2	4
122	на этот	2	4
123	в частности	16	4
124	ко всем	1	4
125	который мы	1	4
126	к понятию	1	4
127	отношения к	2	3
128	с его	1	3
129	из этих	1	3
130	очевидно что	1	3
131	независимо от	1	3
132	как в	4	3
133	хотя и	4	3
134	представляет собой	8	3
135	в случае	2	3
136	на его	3	3
137	при этом	10	3
138	с ней	1	3
139	раз в	1	3
140	и по	1	3
141	в каждом	1	3
142	первую очередь	1	3
143	в ином	1	3
144	в них	1	3
145	иначе говоря	11	3
146	в их	3	3
147	для данного	1	3
148	по себе	2	3
149	до известной	1	3
150	что с	2	3
151	только не	4	3
152	от одних	1	3
153	по своей	1	3
154	связи с	1	3
155	этом отношении	3	3
156	отличается от	1	3
157	представляют собой	2	3
