N	3gram	Propp_Russ_1	Problemy
1	и т п	1	9
2	с точки зрения	3	8
3	в большинстве случаев	2	8
4	по отношению к	1	5
5	в отличие от	1	4
6	друг с другом	1	4
7	и т д	9	4
8	можно было бы	1	3
9	как мы увидим	5	3
10	никак не может	1	3
11	как и в	1	3
12	хотя и не	1	2
13	в настоящее время	3	2
14	и та же	1	2
15	на этот вопрос	1	2
16	может быть и	2	2
17	друг к другу	2	2
18	одна и та	1	2
19	тем не менее	3	2
20	о том же	1	2
21	в то время	1	2
22	ни в одном	1	2
23	но все же	2	2
24	на то что	1	2
25	в этих случаях	1	2
26	а следовательно и	1	1
27	иметь в виду	1	1
28	по привычке по	1	1
29	в виду что	1	1
30	и наконец в	1	1
31	для наших целей	2	1
32	же как и	1	1
33	в таком случае	1	1
34	и в других	4	1
35	в себе и	1	1
36	в собственном смысле	1	1
37	при этом не	1	1
38	у него нет	1	1
39	его жизнь в	1	1
40	т е в	1	1
41	к другому и	1	1
42	ничего общего не	1	1
43	в связи с	4	1
44	в равной степени	2	1
45	все же не	2	1
46	проблем не может	1	1
47	во всяком случае	1	1
48	этого слова с	1	1
49	и в том	1	1
50	о том что	4	1
51	но тем не	2	1
52	на самом деле	1	1
53	в одном из	1	1
54	но и на	2	1
55	можно сказать что	1	1
56	как мы видим	1	1
57	как мы знаем	1	1
58	после того как	2	1
59	как мы уже	1	1
60	в том что	15	1
61	но здесь он	1	1
62	мы увидим что	1	1
