N	3gram	Vinokur_St_1	RusskieA
1	в том что	17	18
2	в этом случае	2	6
3	в данном случае	6	6
4	для того чтобы	10	6
5	т е в	2	5
6	и т д	21	5
7	и в других	1	4
8	так же как	3	4
9	о том что	11	4
10	в советское время	1	3
11	не может быть	5	3
12	тем не менее	2	2
13	во многих случаях	2	2
14	же как и	1	2
15	в том чтобы	1	2
16	в то время	2	2
17	в таком виде	1	2
18	после того как	1	2
19	по этому поводу	2	2
20	с одной стороны	2	2
21	в другом месте	1	1
22	том что в	3	1
23	для него не	1	1
24	а между тем	1	1
25	потому что он	1	1
26	не может не	1	1
27	было бы говорить	1	1
28	другом месте своей	1	1
29	все в этой	1	1
30	в настоящее время	1	1
31	так что в	1	1
32	т е не	1	1
33	в том же	1	1
34	о том как	1	1
35	но и в	2	1
36	в первую очередь	2	1
37	а может быть	1	1
38	в этом отношении	7	1
39	случае она не	1	1
40	таким образом в	1	1
41	то что в	2	1
42	такой же степени	1	1
43	но это не	1	1
44	можно было бы	8	1
45	у нас нет	7	1
46	а иногда и	2	1
47	об этом не	1	1
48	может быть и	2	1
49	ставит себе целью	3	1
50	в это время	1	1
51	т е из	1	1
52	в применении к	3	1
53	во всяком случае	6	1
54	этому поводу с	1	1
55	смысле этого слова	1	1
56	и в этом	3	1
57	во всех этих	1	1
58	в какой степени	1	1
59	то время как	1	1
60	всяком случае не	1	1
61	как и вообще	1	1
62	той и другой	1	1
63	дело в том	4	1
64	с другой стороны	6	1
65	и в том	2	1
66	и это не	1	1
67	далеко не все	1	1
68	нужно было бы	1	1
69	с того что	1	1
70	может быть признана	1	1
71	так как в	2	1
72	а не на	1	1
73	на то что	4	1
74	тем более что	2	1
75	вопрос о том	2	1
76	и таким образом	1	1
77	во многих отношениях	1	1
78	дело не в	2	1
79	также в том	1	1
80	не все в	1	1
81	как и в	2	1
82	на две стороны	1	1
