N	3gram	Tiupa_Vved_1	VerxiiNi
1	с одной стороны	5	7
2	во всяком случае	1	6
3	более или менее	2	5
4	в том числе	1	5
5	по крайней мере	1	5
6	а с другой	2	5
7	о том что	4	4
8	том числе и	1	4
9	к тому же	4	4
10	в связи с	1	3
11	тем не менее	3	3
12	в том что	3	3
13	то же самое	1	2
14	друг на друга	1	2
15	в этом отношении	4	2
16	заключает в себе	1	2
17	то что он	1	2
18	то же время	3	2
19	той или иной	2	2
20	можно сказать что	1	2
21	на то что	1	2
22	в то же	4	2
23	и в этом	1	2
24	и того же	1	1
25	и все же	4	1
26	следует заметить что	1	1
27	состоит в том	2	1
28	же самое следует	1	1
29	по отношению к	7	1
30	в котором он	1	1
31	в настоящее время	1	1
32	одного и того	1	1
33	к новой жизни	1	1
34	в соответствии с	6	1
35	свидетельствует о том	1	1
36	о том как	1	1
37	сказать и о	1	1
38	самое следует сказать	1	1
39	в таком случае	1	1
40	и в то	1	1
41	до известной степени	1	1
42	сами по себе	1	1
43	вследствие того что	1	1
44	и т.д вплоть	1	1
45	несмотря на его	1	1
46	жизни то есть	1	1
47	но не всегда	1	1
48	том или ином	1	1
49	случае мы имеем	1	1
50	в том или	1	1
51	в далеком прошлом	1	1
52	в данном случае	6	1
53	в первом случае	1	1
54	на этот раз	1	1
55	следует сказать и	1	1
56	но при этом	2	1
57	в отличие от	2	1
58	не в том	1	1
59	а не как	1	1
60	в этом направлении	1	1
61	из них не	1	1
62	не только от	1	1
63	с другой стороны	1	1
64	как бы в	1	1
65	речь идет о	1	1
66	один и тот	1	1
67	а в том	1	1
68	не может быть	3	1
69	т.д вплоть до	1	1
70	в свою очередь	4	1
71	в этом последнем	1	1
72	начинается с того	1	1
73	добра и зла	1	1
74	но и от	1	1
75	и по своим	1	1
76	могло бы быть	1	1
77	и тот же	1	1
