N	3gram	Voloshinov_1	PoTuStor
1	с точки зрения	5	6
2	на самом деле	1	4
3	с самого начала	2	4
4	мы полагаем что	1	3
5	не может быть	4	3
6	может быть это	1	3
7	нам кажется что	1	2
8	на две группы	1	2
9	так же как	1	2
10	в самом деле	2	2
11	все то что	1	2
12	в конечном счете	1	2
13	и связанных с	1	1
14	подобно тому как	1	1
15	мы должны перейти	1	1
16	то же самое	1	1
17	не может иметь	1	1
18	в этом отношении	1	1
19	можно было бы	1	1
20	него все то	1	1
21	с этой точки	1	1
22	нужно отметить что	1	1
23	не чем иным	2	1
24	в данном случае	2	1
25	и т.п и	3	1
26	с одной стороны	2	1
27	ничего общего не	1	1
28	в связи с	1	1
29	существует только в	1	1
30	в этот момент	1	1
31	роковую роль в	1	1
32	в том что	2	1
33	этой точки зрения	1	1
34	в разных местах	1	1
35	мы утверждаем что	1	1
36	чем иным как	2	1
37	мы не можем	1	1
38	что иное как	2	1
39	есть прежде всего	3	1
40	не что иное	2	1
41	для того чтобы	1	1
42	и его школа	1	1
