N	3gram	Vinokur_Ku_2	Sovremen
1	с точки зрения	8	5
2	в зависимости от	4	4
3	не может быть	4	4
4	что же это	1	3
5	с самого начала	1	3
6	тем не менее	5	2
7	зависимости от обстоятельств	1	2
8	во всяком случае	5	2
9	в отличие от	2	2
10	в свою очередь	2	2
11	может быть и	1	2
12	в настоящее время	1	2
13	само собою разумеется	1	2
14	что иное как	1	1
15	в известном смысле	1	1
16	по крайней мере	6	1
17	не могут быть	1	1
18	было бы так	1	1
19	не в том	1	1
20	в связи с	3	1
21	он уже не	1	1
22	все более и	1	1
23	какой бы то	1	1
24	и пр но	2	1
25	сказать несколько слов	1	1
26	дело в том	1	1
27	на самом деле	2	1
28	в этом смысле	5	1
29	и той же	1	1
30	смысле то конечно	1	1
31	так же как	2	1
32	влечет за собой	1	1
33	в свое время	2	1
34	нам это не	1	1
35	в этом случае	2	1
36	должен быть поставлен	1	1
37	не было бы	1	1
38	до сих пор	1	1
39	то же время	3	1
40	тот или иной	1	1
41	сами по себе	1	1
42	мы должны признать	1	1
43	есть не что	1	1
44	бы то ни	1	1
45	то он уже	1	1
46	мы не знаем	1	1
47	в конечном счете	2	1
48	более и более	1	1
49	можно было бы	9	1
50	в самом деле	7	1
51	по его мнению	1	1
52	и прежде всего	1	1
53	но все же	2	1
54	мы знаем что	2	1
55	не более как	1	1
56	мы говорим о	2	1
57	в первый период	2	1
58	может быть только	2	1
59	в том случае	2	1
60	в то же	3	1
61	одной и той	1	1
62	те или иные	1	1
63	не что иное	1	1
64	в том что	10	1
65	в этой области	4	1
66	в данном случае	1	1
67	на этот вопрос	2	1
68	то ни было	1	1
69	с одной стороны	1	1
