N	3gram	Nazirov_Vr_1	VerxiiNi
1	с точки зрения	2	6
2	во всяком случае	1	6
3	до сих пор	1	5
4	по крайней мере	1	5
5	а с другой	1	5
6	о том что	1	4
7	точно так же	1	3
8	в конце концов	1	3
9	так же как	1	3
10	в связи с	3	3
11	тем не менее	1	3
12	в том что	2	3
13	в этом отношении	1	2
14	с тех пор	1	2
15	может быть и	1	2
16	то же время	4	2
17	на то что	1	2
18	в то же	4	2
19	и в этом	1	2
20	и все же	5	1
21	а между тем	1	1
22	в котором он	1	1
23	в соответствии с	1	1
24	целым рядом деталей	1	1
25	о том как	1	1
26	а следовательно и	1	1
27	и в то	1	1
28	за тем чтобы	1	1
29	был похож на	1	1
30	в этот период	1	1
31	но и как	1	1
32	но в то	2	1
33	на этот раз	1	1
34	но при этом	1	1
35	или по крайней	1	1
36	не только как	1	1
37	не только от	1	1
38	и даже некоторые	1	1
39	мы знаем о	1	1
40	с другой стороны	1	1
41	как бы в	1	1
42	речь идет о	1	1
43	у него в	1	1
44	не может быть	2	1
45	что в этой	1	1
46	в то время	1	1
47	в свою очередь	1	1
48	это и есть	1	1
49	и никогда не	1	1
50	отличается не только	1	1
51	не только не	1	1
52	он как бы	1	1
53	но и от	1	1
54	на первое место	1	1
55	и что он	1	1
56	а с точки	1	1
