N	2gram	Nazirov_Vr_1	Myslijsy
1	потому что	1	52
2	и в	8	39
3	может быть	4	27
4	в том	3	26
5	не может	2	22
6	что в	7	22
7	не только	9	21
8	в нем	6	20
9	но и	7	20
10	и не	5	18
11	том что	3	16
12	в этом	8	15
13	в себе	2	13
14	таким образом	2	13
15	так и	1	13
16	было бы	1	12
17	в душе	1	11
18	точно так	1	11
19	как в	1	10
20	и что	8	10
21	то что	7	10
22	не есть	1	10
23	но в	6	9
24	как и	6	9
25	могут быть	1	9
26	для нас	4	9
27	там же	2	9
28	тем что	3	9
29	но не	1	8
30	в мысли	1	8
31	точки зрения	2	8
32	в одном	1	8
33	того что	1	8
34	вместе с	2	8
35	по его	1	7
36	в ней	4	7
37	в истории	4	7
38	же с	1	7
39	с этим	1	7
40	это не	4	7
41	в этих	1	7
42	с другой	1	7
43	то же	5	6
44	независимо от	1	6
45	все же	6	6
46	и как	3	6
47	при этом	4	6
48	не менее	2	6
49	того как	1	6
50	тем не	1	6
51	в каком	1	6
52	еще не	2	6
53	как бы	4	6
54	во всех	1	5
55	то в	1	5
56	несмотря на	4	5
57	не имеет	1	5
58	и его	3	5
59	между тем	5	5
60	в его	3	5
61	для всех	1	5
62	друг друга	1	5
63	души и	1	5
64	так же	4	5
65	но это	2	5
66	нем самом	1	5
67	а в	2	5
68	другой стороны	1	5
69	в таком	1	5
70	этом смысле	1	4
71	тем самым	1	4
72	однако в	1	4
73	в то	5	4
74	никогда не	2	4
75	можно бы	1	4
76	же время	5	4
77	во всем	1	4
78	свою очередь	1	4
79	бы в	1	4
80	с нею	2	4
81	для него	2	4
82	не было	5	4
83	и даже	6	4
84	прежде всего	1	4
85	от того	1	4
86	в свою	2	4
87	в своих	4	4
88	а между	1	3
89	того же	1	3
90	и то	2	3
91	столь же	2	3
92	что как	1	3
93	в своем	3	3
94	хотя и	1	3
95	в самом	1	3
96	что это	1	3
97	что слово	1	3
98	он не	3	3
99	в мире	2	3
100	той же	1	3
101	и с	6	3
102	заключается в	1	3
103	в жизни	1	3
104	в них	2	3
105	в этой	2	3
106	во внимание	1	3
107	не мог	2	3
108	в своей	2	3
109	с точки	2	3
110	человеком и	1	3
111	не могло	1	3
112	и это	2	3
113	но при	1	3
114	том как	1	3
115	и вообще	1	3
116	с ним	4	3
117	и во	3	3
118	в глазах	2	3
119	в другой	1	3
120	по мнению	2	3
121	но как	2	3
122	из которого	1	3
123	и их	1	3
124	никто не	1	3
125	нужно было	1	3
126	что для	1	3
127	связи с	3	3
128	к которому	1	3
129	и от	1	3
130	о котором	1	3
131	и все	7	3
132	к этой	1	3
133	хотя в	1	3
134	как на	1	3
135	во всяком	1	3
136	этого в	1	2
137	ко всем	1	2
138	одним из	3	2
139	и есть	1	2
140	их и	1	2
141	б и	2	2
142	служит для	1	2
143	одним словом	1	2
144	то он	1	2
145	не все	1	2
146	тогда как	2	2
147	в целом	1	2
148	что к	2	2
149	во многих	1	2
150	на то	3	2
151	но на	1	2
152	не могла	1	2
153	после этого	2	2
154	по крайней	1	2
155	ключ к	1	2
156	из него	1	2
157	одного и	1	2
158	в их	1	2
159	но он	3	2
160	доказывает что	1	2
161	не могли	1	2
162	том же	2	2
163	это будет	1	2
164	от нас	1	2
165	реального значения	1	2
166	мнения о	1	2
167	только не	1	2
168	следовательно и	1	2
169	его с	2	2
170	ничего общего	1	2
171	не будет	1	2
172	с ее	1	2
173	только при	1	2
174	в виду	4	2
175	о том	4	2
176	все в	1	2
177	крайней мере	1	2
178	еще более	1	2
179	в другую	1	2
180	в разные	1	2
181	уже не	2	2
182	указания на	1	2
183	же в	2	2
184	в начале	6	2
185	предположение что	1	2
186	при помощи	2	2
187	и другом	1	2
188	к ним	2	2
189	только по	1	2
190	на этот	1	2
191	под влиянием	1	2
192	людьми и	1	2
193	нет ничего	1	2
194	за тем	1	2
195	его на	2	2
196	что же	1	2
197	и о	3	2
198	между прочим	1	2
199	но с	1	2
200	тем более	2	2
201	только что	1	2
202	из этого	1	2
203	жизни и	1	2
204	все что	1	2
205	от этой	1	1
206	с утверждением	1	1
207	вряд ли	1	1
208	отношения к	2	1
209	же как	2	1
210	человека и	1	1
211	начинается с	1	1
212	свидетельствует что	1	1
213	органическое единство	1	1
214	не имело	1	1
215	едва ли	1	1
216	и этот	1	1
217	уже по	1	1
218	полагает что	1	1
219	по объему	1	1
220	именно к	1	1
221	совпадает с	1	1
222	ему в	1	1
223	а другие	1	1
224	на них	1	1
225	не имел	1	1
226	материала это	1	1
227	объему и	1	1
228	влияния на	1	1
229	в чем	3	1
230	с его	3	1
231	если в	1	1
232	есть по	1	1
233	некоторые черты	1	1
234	что они	1	1
235	одном из	1	1
236	для создания	1	1
237	дает нам	1	1
238	некоторое время	1	1
239	сходились в	1	1
240	себе на	1	1
241	при создании	2	1
242	же быть	1	1
243	которую они	1	1
244	так в	2	1
245	в известном	2	1
246	как он	1	1
247	этот процесс	1	1
248	от которого	1	1
249	имело бы	1	1
250	высшей степени	1	1
251	без всяких	1	1
252	нашего времени	2	1
253	что ни	1	1
254	одно и	1	1
255	же не	2	1
256	времени а	1	1
257	его в	3	1
258	было в	1	1
259	не вдаваясь	1	1
260	нас весьма	1	1
261	которым он	1	1
262	как общее	1	1
263	рядом с	2	1
264	все равно	1	1
265	далеко не	3	1
266	не всегда	1	1
267	и уже	3	1
268	нам не	1	1
269	в развитии	1	1
270	во время	2	1
271	в письме	5	1
272	в котором	6	1
273	тою же	1	1
274	на свою	1	1
