N	4gram	Tiupa_Disk_1	Problema
1	но в таком случае	1	4
2	дело в том что	1	3
3	одного и того же	2	2
4	свидетельствует о том что	1	2
5	к тому или иному	1	1
6	и требует для себя	1	1
7	внимание на то что	1	1
8	что не есть она	1	1
9	одно и то же	1	1
10	не только потому что	1	1
11	обратить внимание на то	1	1
12	заключается в том что	1	1
13	том и в другом	1	1
14	и тем же словом	1	1
15	и в том и	1	1
16	мы имеем дело не	1	1
17	имеем дело не с	1	1
18	в том и в	1	1
19	о том что ни	1	1
20	не есть она сама	1	1
21	и в другом случае	1	1
22	и в то же	1	1
23	не говоря уже о	2	1
24	одним и тем же	1	1
25	можно даже сказать что	1	1
