N	2gram	Savitsky_P_1	Analitik
1	в качестве	9	31
2	может быть	5	29
3	в том	9	27
4	не может	4	22
5	и не	12	21
6	в частности	2	19
7	и в	14	18
8	но и	6	17
9	а не	2	17
10	представляет собой	1	16
11	отнюдь не	2	15
12	не только	17	15
13	не в	5	14
14	в этом	10	13
15	как и	1	13
16	в его	2	13
17	том что	4	12
18	в себе	3	11
19	но не	3	10
20	то же	9	9
21	в то	7	9
22	а в	4	9
23	есть не	2	8
24	в мире	2	8
25	но в	9	8
26	не есть	1	8
27	тем самым	3	7
28	я и	3	6
29	отличие от	1	6
30	в самом	1	6
31	наш взгляд	1	6
32	на наш	1	6
33	это не	3	6
34	далеко не	1	6
35	точки зрения	3	6
36	в отличие	1	6
37	должен быть	1	6
38	в себя	1	6
39	же время	7	6
40	только в	7	6
41	себя в	1	6
42	то что	4	6
43	или иной	1	6
44	прежде всего	3	6
45	и на	1	5
46	и как	3	5
47	в этой	1	5
48	сводится к	3	5
49	между тем	3	5
50	как бы	4	5
51	что в	4	5
52	столь же	3	4
53	более чем	2	4
54	все же	1	4
55	с точки	3	4
56	и более	1	4
57	по себе	4	4
58	в области	11	4
59	могут быть	3	4
60	не с	1	4
61	с другой	5	4
62	того что	2	4
63	для того	3	4
64	именно в	2	4
65	во времени	1	4
66	вместе с	1	4
67	не более	1	4
68	как известно	1	3
69	и т	3	3
70	и есть	2	3
71	место в	1	3
72	в полной	2	3
73	если в	2	3
74	в рамках	1	3
75	и к	4	3
76	в нем	3	3
77	по природе	1	3
78	в силу	2	3
79	полной мере	2	3
80	ведет к	1	3
81	в ходе	1	3
82	в котором	4	3
83	того чтобы	1	3
84	в собственном	1	3
85	если бы	4	3
86	а также	4	3
87	с его	1	3
88	еще не	1	3
89	вопрос об	1	3
90	с одной	3	3
91	обратиться к	1	3
92	что и	1	3
93	одной стороны	3	3
94	а с	1	3
95	что не	1	3
96	что мы	3	3
97	она может	1	3
98	полноты и	1	3
99	хотя бы	8	3
100	том числе	2	3
101	отношения к	2	2
102	также и	1	2
103	на себя	1	2
104	и то	1	2
105	на основе	1	2
106	не все	1	2
107	не просто	1	2
108	что именно	1	2
109	человеческого бытия	1	2
110	как к	1	2
111	могли бы	1	2
112	в которой	1	2
