N	3gram	Nazirov_Vr_1	Problemy
1	с точки зрения	2	13
2	в этом смысле	1	10
3	то же время	4	9
4	в то же	4	9
5	в том что	2	6
6	и в этом	1	5
7	в романе достоевского	1	5
8	но в то	2	5
9	в конце концов	1	5
10	не может быть	2	4
11	в этом отношении	1	3
12	во всяком случае	1	3
13	с другой стороны	1	3
14	до сих пор	1	2
15	и не может	1	2
16	и в то	1	2
17	в той же	1	2
18	творчества достоевского в	1	2
19	но это не	1	2
20	идет не об	1	2
21	как бы в	1	2
22	все же не	1	2
23	в россии где	1	2
24	а следовательно и	1	1
25	то что я	1	1
26	как и у	3	1
27	в свою очередь	1	1
28	же время и	1	1
29	что достоевский в	1	1
30	достоевский в авторском	1	1
31	он и не	1	1
32	не было бы	1	1
33	что в нем	1	1
34	точно так же	1	1
35	но и как	1	1
36	по крайней мере	1	1
37	может быть и	1	1
38	в момент его	1	1
39	и что в	2	1
40	так же как	1	1
41	что он ищет	1	1
42	тем что он	1	1
43	в высшей степени	1	1
44	на первый взгляд	1	1
45	в известном смысле	1	1
46	не только как	1	1
47	что он сам	1	1
48	к творчеству достоевского	1	1
49	о нем в	1	1
50	в мире а	1	1
51	что они не	1	1
52	о том что	1	1
53	достоевский прежде всего	1	1
54	независимо от того	1	1
55	заключается в том	1	1
56	от того как	1	1
57	в то время	1	1
58	говорит достоевский в	1	1
59	это и есть	1	1
60	и никогда не	1	1
61	не только не	1	1
62	у него в	1	1
63	но как в	1	1
64	из подполья но	1	1
65	он не только	2	1
