N	3gram	Tiupa_Disk_1	Psycholo
1	на то что	1	16
2	в том что	13	14
3	с одной стороны	9	12
4	о том что	5	6
5	заключается в том	1	6
6	до сих пор	1	5
7	с другой стороны	3	5
8	а с другой	3	4
9	и как бы	3	4
10	одним и тем	1	3
11	то же самое	2	3
12	сам по себе	1	3
13	вместе с тем	1	3
14	из того что	1	3
15	одно и то	1	3
16	и то же	1	3
17	и тем же	1	3
18	с самого начала	1	3
19	в этом отношении	1	3
20	и того же	2	2
21	состоит в том	2	2
22	потому что в	1	2
23	одного и того	2	2
24	в этом случае	1	2
25	с точки зрения	1	2
26	в отличие от	4	2
27	обратить внимание на	2	2
28	в данном случае	2	2
29	сами по себе	2	2
30	в том чтобы	2	2
31	не только в	2	2
32	в том и	1	2
33	именно в том	1	2
34	по себе не	2	2
35	не может быть	3	2
36	той или иной	3	2
37	можно сказать что	2	2
38	на самом деле	1	2
39	том что в	2	1
40	том что с	1	1
41	на том что	1	1
42	когда она еще	1	1
43	только потому что	1	1
44	дело в том	1	1
45	по отношению к	9	1
46	более или менее	2	1
47	в виду тот	1	1
48	потому что каждый	1	1
49	в этом смысле	1	1
50	том что он	1	1
51	то есть к	1	1
52	а в том	2	1
53	одной стороны и	2	1
54	в одной из	2	1
55	том что всякое	1	1
56	одной стороны это	1	1
57	до известной степени	1	1
58	что он не	1	1
59	только то что	1	1
60	том или ином	1	1
61	в основе своей	2	1
62	по крайней мере	2	1
63	в том случае	1	1
64	в эстетический объект	1	1
65	не могло быть	1	1
66	к себе и	1	1
67	в том или	1	1
68	она еще не	1	1
69	еще не было	1	1
70	как будто бы	1	1
71	здесь имеет место	1	1
72	как и вообще	1	1
73	имеем дело с	1	1
74	о чем не	1	1
75	едва ли не	2	1
76	а не как	1	1
77	не только о	1	1
78	и в том	1	1
79	от басни и	1	1
80	будто бы противоречит	1	1
81	того или иного	1	1
82	в частности в	2	1
83	говорить не только	1	1
84	в нем нет	1	1
85	по мнению автора	1	1
86	одной стороны он	1	1
87	в свою очередь	3	1
88	разграничение этих двух	1	1
89	в конечном счете	1	1
90	не может стать	1	1
91	речь идет о	1	1
92	ни о чем	1	1
93	в целом ряде	1	1
94	состоит именно в	1	1
95	в евгении онегине	1	1
96	уверенность в том	1	1
97	быть отнесены к	1	1
98	это приводит к	1	1
99	и т.п и	1	1
100	пока еще в	1	1
101	взаимодействия а не	1	1
102	тем что он	1	1
103	мы имеем дело	2	1
104	в полной мере	1	1
105	и тем более	1	1
106	дело с двумя	1	1
107	и в другом	1	1
