N	3gram	Bakhtin_Fr_5	Komedia
1	в том что	6	9
2	в то время	2	5
3	к тому же	2	5
4	то же время	9	4
5	в то же	9	4
6	по отношению к	1	3
7	дошедших до нас	1	3
8	в этом отношении	5	3
9	после того как	1	3
10	о том что	1	3
11	о том насколько	1	2
12	то же самое	2	2
13	до сих пор	3	2
14	как и в	1	2
15	внешней и внутренней	1	2
16	и таким образом	1	2
17	именно потому что	1	2
18	том что в	1	1
19	что иное как	1	1
20	но ни в	1	1
21	не находим в	1	1
22	хотя и не	1	1
23	но и не	1	1
24	и все остальные	1	1
25	в том числе	4	1
26	же как и	2	1
27	да и в	1	1
28	в этой пьесе	1	1
29	вместе с тем	1	1
30	можно говорить о	2	1
31	независимо от того	1	1
32	можно было бы	2	1
33	это вовсе не	1	1
34	внешнее и внутреннее	2	1
35	в коем случае	1	1
36	в значительной степени	1	1
37	в это время	1	1
38	в самом начале	1	1
39	так же как	4	1
40	в данном случае	2	1
41	как составная часть	1	1
42	в чем же	2	1
43	в отличие от	2	1
44	как он был	1	1
45	в одном случае	1	1
46	в течение всей	1	1
47	для этой цели	1	1
48	а вслед за	1	1
49	в стороне от	1	1
50	не мог не	1	1
51	мы не находим	1	1
52	что он не	1	1
53	но он не	1	1
54	народ и его	1	1
55	ни в коем	1	1
56	в отрыве от	2	1
57	и прежде всего	3	1
58	не что иное	1	1
59	в течение всего	1	1
60	в его творчестве	1	1
61	друг от друга	1	1
62	все это конечно	1	1
63	не представляется возможным	1	1
64	в этой же	1	1
65	в другом случае	1	1
66	в большинстве случаев	2	1
67	как мы уже	1	1
68	то время когда	1	1
69	был одним из	1	1
70	тем не менее	1	1
71	как мы видели	4	1
72	для того чтобы	6	1
73	в конце xv	1	1
74	так как он	1	1
