N	2gram	Voloshinov_1	Morfolog
1	может быть	13	52
2	и пр	4	40
3	таким образом	7	20
4	представляет собой	2	17
5	не может	12	17
6	в этих	2	16
7	с этим	2	14
8	эта форма	1	13
9	и в	38	13
10	действующих лиц	1	13
11	в этом	10	13
12	так как	7	12
13	перед нами	3	11
14	связи с	3	11
15	чаще всего	3	11
16	мы видим	3	11
17	видим что	2	10
18	заметить что	2	10
19	то же	14	9
20	мы имеем	2	9
21	так и	6	9
22	этом случае	3	9
23	не всегда	2	9
24	прежде всего	21	9
25	а не	6	9
26	в связи	2	9
27	и не	14	9
28	а затем	1	8
29	при помощи	1	8
30	что и	3	8
31	с другой	1	8
32	в результате	1	8
33	вопрос о	2	7
34	имеем в	1	7
35	в качестве	4	7
36	в тех	3	7
37	все же	7	7
38	но если	1	7
39	но не	2	6
40	это не	3	6
41	не могут	1	6
42	и здесь	3	6
43	в форме	6	6
44	в том	2	6
45	а в	5	6
46	мы не	9	5
47	во всех	6	5
48	тому как	1	5
49	то что	8	5
50	не менее	1	5
51	потому что	5	5
52	в поле	1	5
53	или в	2	5
54	иногда в	1	5
55	образом мы	1	5
56	вслед за	1	5
57	один из	4	5
58	мы увидим	5	5
59	если мы	4	5
60	герой получает	1	5
61	наряду с	1	5
62	как бы	28	5
63	и другие	1	5
64	также и	2	4
65	увидим ниже	1	4
66	что его	1	4
67	то мы	3	4
68	если в	1	4
69	как в	2	4
70	не хватает	1	4
71	хотя и	3	4
72	и как	9	4
73	не только	27	4
74	на его	5	4
75	на этом	1	4
76	об этом	3	4
77	его в	4	4
78	было бы	7	4
79	вовсе не	2	4
80	как и	10	4
81	несмотря на	2	4
82	точки зрения	10	4
83	с точки	5	4
84	тем не	1	4
85	ничего не	8	4
86	тем что	2	4
87	как мы	9	4
88	могла бы	1	4
89	его самого	1	4
90	другой стороны	1	4
91	там где	1	4
92	так же	4	4
93	оно может	1	4
94	что в	1	4
95	самом деле	4	3
96	на самом	3	3
97	и для	3	3
98	между собой	2	3
99	из приведенных	1	3
100	независимо от	5	3
101	целый ряд	3	3
102	как таковое	2	3
103	но в	5	3
104	к чему	2	3
105	в целом	4	3
106	в нашем	5	3
107	он должен	3	3
108	прежде чем	2	3
109	но все	4	3
110	в ход	1	3
111	из них	3	3
112	ни в	1	3
113	и вне	1	3
114	том что	3	3
115	в то	9	3
116	в сущности	1	3
117	на него	4	3
118	того чтобы	7	3
119	здесь же	1	3
120	от того	3	3
121	с собой	2	3
122	если бы	4	3
123	но и	13	3
124	он не	2	3
125	к нему	2	3
126	в какой	2	3
127	не происходит	1	3
128	в начале	3	3
129	друг друга	2	3
130	мы можем	7	3
131	в руки	1	3
132	не является	5	3
133	из которых	3	3
134	но это	2	3
135	кроме того	2	3
136	это уже	1	3
137	мы должны	10	3
138	же в	1	3
139	пока же	1	3
140	в последнем	1	3
141	если же	1	3
142	смысле слова	1	2
143	по отдельным	1	2
144	как это	5	2
145	тем же	3	2
146	что эти	2	2
147	собственном смысле	1	2
148	для наших	2	2
149	который может	1	2
150	а с	5	2
151	первый взгляд	1	2
152	если она	1	2
153	случаях всегда	1	2
154	тех случаях	2	2
155	как уже	2	2
156	и к	4	2
157	более или	1	2
158	то в	1	2
159	та же	3	2
160	одному из	1	2
161	не значит	1	2
162	которое может	3	2
163	приходим к	1	2
164	можно было	4	2
165	в другом	1	2
166	мы уже	10	2
167	большинстве случаев	1	2
168	с тем	8	2
169	и тогда	2	2
170	на первый	1	2
171	или менее	1	2
172	для него	3	2
173	и при	2	2
174	что такое	4	2
175	мы приходим	1	2
176	нельзя было	1	2
177	однако в	2	2
178	заставляет его	1	2
179	все эти	2	2
180	в таких	1	2
181	что эта	1	2
182	с теми	1	2
183	одна из	1	2
184	не сумеем	2	2
185	случаях не	1	2
186	такой случай	1	2
187	и его	7	2
188	так например	1	2
189	в каком	2	2
190	перейти к	2	2
191	для того	9	2
192	утверждать что	1	2
193	совершается в	1	2
194	здесь не	2	2
195	в собственном	1	2
196	можно сделать	1	2
197	и что	1	2
198	не с	3	2
199	ясно что	2	2
200	показать как	1	2
201	является в	1	2
202	о том	4	2
203	можно сказать	4	2
204	можно заметить	1	2
205	может не	1	2
206	следует за	1	2
207	ни к	2	2
208	путь к	1	2
209	образом если	1	2
210	более сложный	1	2
211	дома в	1	2
212	того что	4	2
213	как например	2	2
214	хотя бы	18	2
215	этот вопрос	2	2
216	что он	2	2
217	только в	6	2
218	себя в	4	2
219	наших целей	1	2
220	уже не	4	2
221	или на	1	2
222	вопроса о	4	2
223	в большинстве	1	2
224	или не	1	2
225	в виде	1	2
226	его и	3	2
227	носит характер	1	2
228	должны будем	1	2
229	из двух	2	2
230	чему не	2	2
231	а впоследствии	1	2
232	а на	2	2
233	не знает	3	2
234	сказать что	3	2
235	что мы	11	2
236	в частности	3	2
237	незадолго до	1	2
238	основные элементы	1	2
239	но для	3	2
240	вопрос в	1	2
241	случаях когда	2	2
242	тем и	2	2
243	не существует	4	2
244	чтобы его	1	2
245	но вот	3	2
246	например на	1	2
247	одной из	2	2
248	и становятся	1	2
249	к этому	2	2
250	равным образом	1	1
251	нужно помнить	1	1
252	наши дни	1	1
253	к людям	1	1
254	он получает	1	1
255	например в	1	1
256	и то	3	1
257	значением которое	1	1
258	он может	1	1
259	нашему изучению	1	1
260	к своей	1	1
261	решительно все	1	1
262	который можно	1	1
263	между двумя	2	1
264	встречаются на	1	1
265	приходит к	1	1
266	то для	1	1
