N	3gram	Propp_Isto_2	Sovremen
1	мы не можем	1	6
2	в зависимости от	1	4
3	не может быть	2	4
4	мы видели что	1	3
5	с самого начала	2	3
6	еще не может	1	2
7	тем не менее	1	2
8	друг с другом	1	2
9	через некоторое время	1	2
10	в отличие от	1	2
11	мы это увидим	1	1
12	и может быть	2	1
13	что иное как	2	1
14	и есть то	1	1
15	уже знаем что	2	1
16	его таким образом	1	1
17	в одном случае	2	1
18	в связи с	4	1
19	по отношению к	3	1
20	на самом деле	2	1
21	в обратном порядке	1	1
22	может быть сведен	1	1
23	и той же	1	1
24	так же как	4	1
25	влечет за собой	1	1
26	в этом случае	5	1
27	до наших дней	1	1
28	до сих пор	6	1
29	есть не что	1	1
30	сих пор в	1	1
31	а может быть	1	1
32	но они не	2	1
33	это значит что	1	1
34	но все эти	1	1
35	можно было бы	3	1
36	по его мнению	1	1
37	но никогда не	1	1
38	но если мы	1	1
39	и прежде всего	1	1
40	но все же	4	1
41	мы знаем что	10	1
42	но уже в	1	1
43	и ничего не	2	1
44	мы этого не	1	1
45	это как бы	1	1
46	из этих двух	1	1
47	мы видим что	5	1
48	одной и той	1	1
49	стадии развития на	1	1
50	не что иное	2	1
51	не подлежит никакому	1	1
52	мы уже знаем	3	1
53	в себе в	1	1
54	в том что	5	1
55	на этой стадии	1	1
56	в обоих случаях	1	1
57	на другой день	1	1
58	подлежит никакому сомнению	1	1
59	с одной стороны	3	1
60	для наших целей	2	1
61	а в некоторых	1	1
