N	3gram	Tiupa_Vved_1	Istorich
1	с другой стороны	1	8
2	в этом случае	1	7
3	с одной стороны	5	7
4	в этих случаях	2	6
5	о том что	4	4
6	в связи с	1	4
7	тем не менее	3	4
8	как мы увидим	1	3
9	не превращается в	1	3
10	здесь мы имеем	1	3
11	не может быть	3	3
12	мы увидим ниже	1	3
13	по отношению к	7	2
14	о том как	1	2
15	в данном случае	6	2
16	в том чтобы	2	2
17	если бы мы	1	2
18	не только в	2	2
19	но и в	2	2
20	но это не	1	2
21	в том что	3	2
22	на то что	1	2
23	как и в	2	2
24	при встрече с	1	1
25	объясняется тем что	1	1
26	их ставят на	2	1
27	а не в	1	1
28	из того что	1	1
29	на самом деле	3	1
30	в том числе	1	1
31	в соответствии с	6	1
32	свидетельствует о том	1	1
33	уже говорилось выше	1	1
34	одной стороны и	1	1
35	в зависимости от	1	1
36	в отличие от	2	1
37	том числе и	1	1
38	то же время	3	1
39	но не всегда	1	1
40	у него нет	1	1
41	что есть на	1	1
42	не в том	1	1
43	может быть не	3	1
44	состоит в том	2	1
45	то что он	1	1
46	во всяком случае	1	1
47	как таковой в	1	1
48	и соответственно с	1	1
49	на наших глазах	1	1
50	к себе в	1	1
51	а тот кто	1	1
52	в свою очередь	4	1
53	само по себе	1	1
54	и тем самым	2	1
55	и не могло	1	1
56	подобно тому как	2	1
57	можно сказать что	1	1
58	что все люди	1	1
59	в то же	4	1
60	может быть названа	1	1
61	не хватает только	1	1
62	они могут быть	1	1
63	здесь как и	1	1
64	не тот кто	1	1
65	как мы видели	2	1
66	в пределах одного	1	1
67	другой стороны в	1	1
