N	4gram	Bakhtin_Pr_1	formyVre
1	в то же время	9	4
2	мы имеем в виду	1	2
3	и в то же	2	2
4	в разрезе одного момента	1	2
5	значит конечно что в	1	1
6	к себе самому и	1	1
7	новое видение и изображение	1	1
8	те же что и	1	1
9	бы он ни был	2	1
10	к прошлому и будущему	1	1
11	в то время как	1	1
12	именно в том что	1	1
13	не значит конечно что	2	1
14	в том что он	4	1
15	совершенно новое видение и	1	1
16	но в то же	5	1
17	это не значит конечно	2	1
18	конечно что в мире	1	1
19	и в этом отношении	2	1
20	говорит он что в	1	1
21	как мы уже говорили	1	1
