N	2gram	Tiupa_Disk_2	KFilosof
1	может быть	16	43
2	в его	3	39
3	в нем	7	31
4	не может	9	27
5	и не	15	26
6	по отношению	4	25
7	и в	16	22
8	в себе	19	21
9	в котором	3	21
10	отношению к	4	21
11	для меня	1	20
12	не есть	1	19
13	и его	3	17
14	в ее	1	17
15	а не	14	17
16	только в	3	16
17	в этом	16	13
18	точки зрения	4	13
19	и это	2	12
20	но не	7	12
21	ни в	7	12
22	для него	5	12
23	все эти	3	11
24	в своей	6	11
25	не в	3	11
26	во всех	1	10
27	в своем	5	10
28	это не	3	10
29	с точки	2	10
30	все это	2	10
31	и есть	1	9
32	в целом	2	9
33	для нее	1	9
34	бытия и	2	9
35	но и	11	9
36	как бы	4	9
37	и для	2	9
38	и все	3	9
39	лишь в	1	8
40	мир в	1	8
41	со стороны	10	8
42	не было	3	8
43	жизни и	3	8
44	то что	5	7
45	во всем	1	7
46	должен быть	1	7
47	в себя	2	7
48	и здесь	1	7
49	что и	2	7
50	себя в	6	7
51	вовсе не	1	7
52	я не	1	6
53	момент в	2	6
54	отношение к	2	6
55	отнюдь не	6	6
56	мира в	3	6
57	он не	3	6
58	мир как	1	6
59	в мире	11	6
60	и только	1	6
61	уже не	3	6
62	и их	1	6
63	но это	3	6
64	в том	8	6
65	мы имеем	2	5
66	жизни как	2	5
67	все же	6	5
68	но в	11	5
69	жизнь как	1	5
70	не только	10	5
71	то же	6	5
72	но все	1	5
73	его в	3	5
74	как и	16	5
75	должно быть	2	5
76	со своего	1	5
77	никогда не	2	5
78	бытия как	1	5
79	для себя	2	5
80	ни одно	2	5
81	с ним	1	5
82	именно в	2	5
83	бытия в	1	5
84	его как	1	5
85	там где	1	5
86	в контексте	3	5
87	в основе	4	5
88	в ценностном	1	5
89	жизни в	3	5
90	не знает	3	5
91	проникает в	1	4
92	в чем	1	4
93	это мир	2	4
94	при этом	17	4
95	время и	1	4
96	не как	1	4
97	входит в	2	4
98	место в	2	4
99	тем самым	6	4
100	чем не	2	4
101	о нем	1	4
102	и т.д	1	4
103	времени и	2	4
104	мира и	4	4
105	между тем	2	4
106	могло бы	1	4
107	ни было	1	4
108	в одном	4	4
109	бытия но	1	4
110	том что	10	4
111	а в	2	4
112	быть все	1	4
113	что в	5	4
114	в своих	6	4
115	бытия а	1	3
116	самом деле	1	3
117	должна быть	2	3
118	мы не	1	3
119	в ней	2	3
120	во мне	1	3
121	еще не	6	3
122	и на	5	3
123	события в	1	3
124	тем как	1	3
125	к чему	1	3
126	бы не	1	3
127	и отношения	1	3
128	в другом	3	3
129	не должно	1	3
130	что этот	1	3
131	не менее	7	3
132	я буду	1	3
133	на язык	1	3
134	ничего не	1	3
135	целом и	1	3
136	в некотором	1	3
137	могут быть	3	3
138	здесь не	2	3
139	отсюда и	2	3
140	с человеком	1	3
141	но здесь	2	3
142	о том	4	3
143	того или	1	3
144	ним и	1	3
145	того что	1	3
146	в современной	1	3
147	быть и	1	3
148	действительной жизни	1	3
149	не дает	1	3
150	тем что	1	3
151	до конца	1	3
152	ближе к	1	3
153	по своему	1	3
154	и ни	1	3
155	не быть	1	3
156	или иного	2	3
157	в то	5	3
158	себя как	1	2
159	чтобы не	1	2
160	и то	4	2
161	я и	4	2
162	это и	1	2
163	чего не	3	2
164	вопрос о	1	2
165	своих границах	1	2
166	только это	1	2
167	а для	1	2
168	ему в	1	2
169	не нужно	2	2
170	с его	6	2
171	в данном	7	2
172	к которой	2	2
173	как в	8	2
174	и как	3	2
175	это область	1	2
176	себе как	1	2
177	истины и	1	2
178	ни одна	1	2
179	в этой	4	2
180	человек не	1	2
181	вследствие этого	2	2
182	в принципе	2	2
183	так и	9	2
184	то ни	1	2
185	и может	3	2
186	переживание переживания	1	2
187	ответственность за	1	2
188	в жизни	1	2
189	соответствии с	3	2
190	и само	1	2
191	жизни но	3	2
192	и того	3	2
193	я его	1	2
194	тем не	1	2
195	изнутри в	1	2
196	сам этот	1	2
197	случае мы	1	2
198	дело не	1	2
199	мышления и	1	2
200	дело в	2	2
201	в процессе	1	2
202	этом мире	2	2
203	же время	5	2
204	героя это	1	2
205	в области	2	2
206	к себе	1	2
207	и именно	1	2
208	его с	1	2
209	может представиться	1	2
210	той или	3	2
211	оно не	1	2
212	чтобы стать	1	2
213	не живет	1	2
214	события так	1	2
215	во главе	1	2
216	всей своей	3	2
217	говорить о	2	2
218	сводится к	2	2
219	может не	1	2
220	бы то	1	2
221	основе своей	2	2
222	не со	1	2
223	может иметь	2	2
224	что он	2	2
225	каждый момент	1	2
226	а с	5	2
227	мира как	1	2
228	в качестве	16	2
229	к историческому	1	2
230	содержания и	1	2
231	содержание и	1	2
232	не о	2	2
233	принципиально не	1	2
234	были бы	1	2
235	или иной	3	2
236	для этого	1	2
237	себя и	1	2
238	но есть	1	2
239	прежде всего	7	2
240	в соответствии	2	2
241	ответственности в	1	2
242	бытию в	1	2
243	в это	1	2
244	и смерти	1	2
245	оценки и	1	2
246	но для	1	2
247	еще более	1	2
248	ни к	5	2
249	потому что	4	2
250	но всегда	1	2
251	к этому	4	2
252	также и	3	1
253	в чужой	1	1
254	всем что	1	1
255	и до	1	1
256	менее основательно	1	1
257	не имеют	1	1
258	между ним	1	1
259	той же	2	1
260	его не	1	1
261	а содержанием	1	1
262	они остаются	1	1
263	я как	2	1
264	две жизни	1	1
265	время от	1	1
266	не была	1	1
267	он как	1	1
268	совпадает с	2	1
269	и ее	3	1
270	причастности к	2	1
271	не был	1	1
272	столь же	3	1
273	в нашем	1	1
274	так по	1	1
275	а через	1	1
276	не просто	1	1
277	в истории	1	1
278	более чем	2	1
279	мысли только	1	1
280	такова же	1	1
281	это отнюдь	1	1
282	хотя и	1	1
283	и наконец	3	1
284	в этот	1	1
285	в первом	1	1
286	видения мира	1	1
287	в самом	1	1
288	в которой	1	1
289	ни один	1	1
290	другого как	1	1
291	т.п но	1	1
292	самого по	1	1
293	жизнью и	2	1
294	к выводу	1	1
295	не следует	3	1
296	задний план	1	1
297	не к	2	1
298	но прежде	1	1
299	содержит в	2	1
300	их в	2	1
301	я с	2	1
302	его от	1	1
303	на этом	1	1
304	значительной степени	1	1
305	том же	1	1
306	подход к	3	1
307	мы его	1	1
308	об этом	1	1
309	и с	2	1
310	а их	1	1
311	то есть	12	1
312	и иных	1	1
313	на почве	2	1
314	не совпадает	1	1
315	форму и	1	1
316	я другой	1	1
317	практически не	1	1
318	к миру	1	1
319	отказа от	1	1
320	который по	2	1
321	этого она	1	1
322	этого не	1	1
323	утверждающего в	1	1
324	несмотря на	1	1
325	все моменты	1	1
326	в архитектонике	1	1
327	и было	1	1
328	такой же	2	1
329	в этих	3	1
330	она сама	1	1
331	как все	2	1
332	он должен	1	1
333	не единственным	1	1
334	всяком случае	1	1
335	даль и	1	1
336	от времени	1	1
337	персональной ответственности	1	1
338	сознании в	1	1
339	любви и	1	1
340	при всех	1	1
341	она не	1	1
342	как о	1	1
343	мысли в	1	1
344	одна из	1	1
345	между жизнью	2	1
346	первая часть	1	1
347	и имеет	1	1
348	к другим	1	1
349	жизни не	2	1
350	по своей	6	1
351	такая же	1	1
352	отдельного человека	1	1
353	мире и	3	1
354	ценностную архитектонику	1	1
355	к этим	1	1
356	иногда не	1	1
357	не является	4	1
358	лирический герой	3	1
359	точке зрения	1	1
360	существенно для	1	1
361	ни о	1	1
362	только от	1	1
363	в специальном	2	1
364	на границе	1	1
365	и должно	1	1
366	и другой	1	1
367	отличается от	1	1
368	всего в	1	1
369	к тому	1	1
370	к настоящему	1	1
371	имеет место	1	1
372	моя жизнь	1	1
