N	2gram	Vygotskiy__1	BTomashe
1	у нас	4	3
2	и не	16	2
3	все это	8	2
4	в ней	1	2
5	не то	2	2
6	художественного произведения	17	1
7	за пределы	1	1
8	остановиться на	2	1
9	бы только	1	1
10	будто бы	2	1
11	об этом	1	1
12	и в	31	1
13	ясного и	1	1
14	и о	4	1
15	со всем	1	1
16	выходит за	1	1
17	что все	3	1
18	с другой	5	1
19	в своей	3	1
20	значение слова	1	1
21	на самом	2	1
22	систематизации и	1	1
23	вольный стих	1	1
24	как будто	5	1
25	не следует	1	1
26	из ее	1	1
27	точно и	2	1
28	области методологии	1	1
29	и нет	1	1
30	было бы	6	1
31	все же	5	1
32	всяком случае	6	1
33	свести к	1	1
34	никак не	4	1
35	между ними	1	1
36	точке зрения	1	1
37	меньше чем	1	1
38	еще не	1	1
39	художественном произведении	3	1
40	и на	1	1
41	в пределах	1	1
42	теории литературы	1	1
43	одной из	1	1
44	должна быть	3	1
45	в значительной	1	1
46	прежде всего	4	1
47	как работу	1	1
48	и во	2	1
49	так и	3	1
50	не было	3	1
51	то как	1	1
52	в книге	2	1
53	его не	2	1
54	совершенно не	5	1
55	далеко не	2	1
56	до конца	6	1
57	почти совершенно	1	1
58	а не	13	1
59	что в	23	1
60	в области	11	1
61	другой стороны	5	1
62	говорить об	1	1
63	и ее	1	1
64	отнюдь не	6	1
65	таким образом	20	1
66	вопрос о	3	1
67	и более	1	1
68	и потому	2	1
69	не только	13	1
70	иначе не	1	1
71	во всяком	8	1
72	в эпоху	1	1
