N	3gram	Propp_Morf_1	Dialekti
1	и т д	39	19
2	с точки зрения	2	12
3	это значит что	1	9
4	в том что	3	7
5	одно и то	1	4
6	и то же	1	4
7	с другой стороны	4	4
8	на то что	2	4
9	более или менее	2	3
10	имеет ничего общего	1	3
11	может быть и	2	3
12	не значит что	2	3
13	иметь в виду	1	3
14	не может быть	9	3
15	можно сказать что	1	3
16	не имеет ничего	1	3
17	то это значит	1	2
18	на самом деле	4	2
19	т е о	1	2
20	то как же	1	2
21	до сих пор	1	2
22	же может быть	2	2
23	т д но	4	2
24	в этом отношении	1	2
25	точно так же	1	2
26	с одной стороны	1	2
27	в качестве примера	1	2
28	друг к другу	2	2
29	во всяком случае	2	2
30	же можно сказать	1	2
31	о том что	1	2
32	и даже не	1	2
33	к тому что	3	2
34	не стремится к	1	1
35	связаны между собою	1	1
36	это уже не	1	1
37	можно сравнить с	1	1
38	а потому что	1	1
39	и есть то	1	1
40	хотя и не	1	1
41	и не требует	1	1
42	что под этим	1	1
43	не всегда так	1	1
44	в чем же	1	1
45	то время как	3	1
46	это было бы	1	1
47	здесь мы находим	1	1
48	т е не	1	1
49	того или другого	1	1
50	что же касается	1	1
51	то прежде всего	1	1
52	т д они	2	1
53	то же можно	1	1
54	если же он	1	1
55	чтобы получить в	1	1
56	до известной степени	1	1
57	ни в коем	1	1
58	как мы увидим	4	1
59	но это не	1	1
60	но если мы	1	1
61	с такой же	1	1
62	она может быть	1	1
63	и тем не	1	1
64	в коем случае	1	1
65	ясно что это	1	1
66	что там где	1	1
67	там где есть	1	1
68	можно сказать о	1	1
69	но это и	1	1
70	можно ли считать	1	1
71	не потому что	1	1
72	далеко не всегда	1	1
73	том или другом	1	1
74	в то время	3	1
75	совершенно не приходится	1	1
76	и не стремится	1	1
77	в связи с	8	1
78	то что он	1	1
79	это не значит	2	1
80	они даны в	1	1
81	т д все	1	1
82	в этом и	1	1
83	в последнем случае	2	1
84	это и не	2	1
85	что это и	1	1
86	но так как	1	1
87	связи с этим	4	1
88	может быть названа	1	1
89	это мы видим	1	1
90	сих пор не	1	1
91	может быть заменено	1	1
92	и наконец даже	1	1
93	коем случае не	1	1
94	то что не	1	1
95	с самого начала	1	1
96	между тем в	1	1
97	но все же	3	1
98	а на самом	1	1
99	заметить что в	1	1
100	в этих случаях	11	1
101	то мы имеем	1	1
102	и может быть	1	1
103	постольку поскольку это	1	1
104	мы увидим как	1	1
105	том что такое	1	1
106	тех или иных	1	1
107	тем не менее	4	1
108	друг с другом	1	1
109	дело не в	2	1
110	для того чтобы	2	1
111	т д в	2	1
112	на первый взгляд	3	1
113	не имеет смысла	1	1
114	следует за ней	1	1
