N	4gram	Vinokur_Ku_1	Russkaja
1	в то же время	2	10
2	в том случае если	1	3
3	только в том случае	1	2
4	то это потому что	1	2
5	и вместе с тем	1	2
6	о котором идет речь	2	2
7	только для того чтобы	1	1
8	и с точки зрения	1	1
9	одного и того же	2	1
10	есть ничто иное как	1	1
11	точно так же как	1	1
12	что с точки зрения	1	1
13	от этого не меняется	1	1
14	сводится к тому что	1	1
15	не трудно видеть что	1	1
16	во всех этих случаях	1	1
17	что в большинстве случаев	1	1
18	а в том что	2	1
19	заключается в том что	2	1
20	на том основании что	1	1
21	свидетельствуют о том что	1	1
