N	3gram	Medvedev_F_2	Myslijsy
1	в том что	2	13
2	не может быть	10	9
3	только в том	1	6
4	тем не менее	1	6
5	и в этом	5	6
6	с другой стороны	3	5
7	языка и его	5	5
8	потому что не	1	4
9	смысле в каком	1	4
10	но и в	3	4
11	не в том	3	4
12	в свою очередь	1	4
13	в этом смысле	2	4
14	в том смысле	3	4
15	и т д	5	4
16	с точки зрения	7	3
17	с тем что	5	3
18	в противном случае	1	3
19	том смысле в	1	3
20	с одной стороны	1	3
21	сама по себе	1	3
22	в том как	1	3
23	то же время	5	3
24	но тем не	1	3
25	с самого начала	2	3
26	так и в	3	3
27	что и в	1	3
28	в то же	5	3
29	все более и	1	2
30	что иное как	1	2
31	в таком виде	1	2
32	в таком случае	1	2
33	со стороны других	1	2
34	бы то ни	1	2
35	на этот вопрос	1	2
36	по крайней мере	1	2
37	то и другое	2	2
38	к тому что	2	2
39	в применении к	2	2
40	могут быть названы	1	2
41	не могут быть	4	2
42	для того чтобы	3	2
43	более и более	1	2
44	и т п	9	2
45	при известных условиях	2	2
46	не что иное	1	2
47	как и в	1	2
48	он не есть	1	1
49	которое лежит в	1	1
50	из всего этого	3	1
51	не следует что	2	1
52	а не в	1	1
53	эти явления и	1	1
54	не говоря уже	1	1
55	на самом деле	3	1
56	и там где	1	1
57	мы не можем	1	1
58	чтобы показать что	1	1
59	и в какой	2	1
60	говоря уже о	1	1
61	и то и	2	1
62	сам по себе	3	1
63	сами по себе	2	1
64	же время не	1	1
65	не совпадает с	1	1
66	не было бы	1	1
67	только то что	1	1
68	в этом отношении	7	1
69	языка а не	1	1
70	из того что	1	1
71	в собственном смысле	1	1
72	до сих пор	1	1
73	что в нем	2	1
74	при этом не	1	1
75	с тем и	2	1
76	к которому стремится	1	1
77	язык как предмет	2	1
78	в данное время	1	1
79	но ни одна	1	1
80	языка таким образом	1	1
81	это приводит к	2	1
82	только тем что	1	1
83	что если бы	1	1
84	и в этих	1	1
85	может быть понят	1	1
86	было бы сказать	1	1
87	можно думать что	1	1
88	что бы то	1	1
89	имеет место и	1	1
90	более или менее	1	1
91	с тем же	1	1
92	продолжает жить и	1	1
93	из основных признаков	1	1
94	на задний план	1	1
95	смысле этого слова	1	1
96	в связи с	10	1
97	и теперь как	1	1
98	но при этом	1	1
99	то ни стало	2	1
100	все без исключения	2	1
101	между тем в	1	1
102	во что бы	1	1
103	это не так	1	1
104	и в этой	2	1
105	что именно эти	1	1
106	во всяком случае	5	1
107	именно в том	1	1
108	между этими двумя	2	1
109	языка не может	1	1
110	в общих чертах	1	1
111	по себе а	2	1
112	тем что в	1	1
113	таким образом мы	1	1
114	том смысле что	2	1
115	лишь в том	1	1
116	и тем самым	1	1
117	вряд ли нужно	1	1
118	место и в	1	1
119	может быть признана	1	1
120	но все же	2	1
121	языка в смысле	1	1
122	таким образом в	1	1
123	противном случае мы	1	1
124	она не может	1	1
125	можно и должно	3	1
126	совершенно справедливо говорит	1	1
127	только в целом	1	1
128	как мы видели	4	1
