N	4gram	Bakhtin_fo_2	VerxiiNi
1	в том числе и	2	4
2	и вместе с тем	1	3
3	говорили о том что	1	2
4	с этой точки зрения	1	2
5	до сих пор еще	1	2
6	в то же время	4	2
7	те же что и	1	1
8	мы имеем в виду	2	1
9	одного и того же	1	1
10	уже говорили о том	1	1
11	похожи друг на друга	2	1
12	мы уже говорили о	1	1
13	но в то же	1	1
14	и в этом отношении	1	1
15	не похожи друг на	1	1
16	в том что они	1	1
17	в связи с тем	1	1
18	но в конце концов	1	1
19	все более и более	1	1
20	и в то же	2	1
21	в данном случае мы	1	1
