N	3gram	Vinokur_Vv_1	Freidism
1	с точки зрения	2	11
2	по отношению к	4	8
3	во всяком случае	3	7
4	не может быть	8	7
5	в самом деле	5	6
6	и прежде всего	1	5
7	в то же	5	4
8	можно сказать что	3	4
9	на самом деле	1	4
10	как мы уже	1	4
11	то же время	5	4
12	как мы видели	2	4
13	в зависимости от	1	4
14	в данном случае	4	4
15	с самого начала	1	3
16	одной и той	2	3
17	бы то ни	1	3
18	прежде всего к	1	3
19	для того чтобы	21	3
20	и той же	2	3
21	но в общем	1	3
22	в собственном смысле	2	3
23	на этот вопрос	3	3
24	таким образом вся	1	3
25	в свою очередь	1	3
26	с одной стороны	4	2
27	зависимости от того	1	2
28	но в то	3	2
29	мы уже знаем	1	2
30	может быть и	2	2
31	до сих пор	5	2
32	его отношение к	1	2
33	то ни было	1	2
34	в конце концов	2	2
35	в отличие от	3	2
36	все то что	1	2
37	в этом отношении	3	2
38	не могут быть	2	2
39	то же самое	2	2
40	но во всяком	1	2
41	то или иное	1	2
42	тем не менее	8	2
43	что же касается	2	2
44	о том что	12	1
45	это как будто	1	1
46	из этих двух	1	1
47	не похожи на	1	1
48	во всех отношениях	1	1
49	том что в	1	1
50	всего к тому	1	1
51	со стороны формы	1	1
52	по сравнению с	3	1
53	и без того	1	1
54	но не может	1	1
55	по меньшей мере	2	1
56	в различных проявлениях	1	1
57	в этом опыте	1	1
58	то обстоятельство что	1	1
59	а также и	2	1
60	из того что	1	1
61	еще не исчерпывается	1	1
62	развития человеческой личности	1	1
63	на этой почве	2	1
64	от того что	1	1
65	д таким образом	1	1
66	между ними в	1	1
67	имея в виду	1	1
68	сам об этом	1	1
69	ними и в	1	1
70	и об отношении	1	1
71	все зависит от	1	1
72	в котором они	1	1
73	в целом ряде	2	1
74	хотя бы и	2	1
75	свои корни в	1	1
76	в этом смысле	10	1
77	имеем в виду	1	1
78	обратим внимание на	1	1
79	все что может	1	1
80	он сам об	1	1
81	можно говорить о	1	1
82	на время в	1	1
83	в том что	12	1
84	в этом случае	6	1
85	ответ на этот	1	1
86	прежде всего должен	1	1
87	объясняется и то	1	1
88	же как он	1	1
89	к выводу что	5	1
90	и т д	37	1
91	в гораздо большей	1	1
92	мы вкладываем в	1	1
93	но вместе с	2	1
94	находит свое выражение	1	1
95	и не могут	2	1
96	во всех его	1	1
97	остается тот же	1	1
98	ответить на этот	1	1
99	и тем не	3	1
100	приходит к выводу	1	1
101	вообще не может	2	1
102	и со стороны	1	1
103	той или иной	1	1
104	и изучение этих	1	1
105	как мы видим	1	1
106	мы имеем в	1	1
107	как будто бы	2	1
108	говорить о том	1	1
109	на которые она	1	1
110	но все же	3	1
111	целом ряде других	1	1
112	смысле этого слова	2	1
113	на определенной ступени	1	1
114	только потому что	1	1
115	что таким путем	1	1
116	том что с	1	1
117	не остается ничего	1	1
118	собственном смысле слова	1	1
119	как уже сказано	1	1
120	со стороны содержания	1	1
121	можно назвать в	1	1
122	один из крупнейших	1	1
123	а только по	1	1
124	только то что	1	1
125	быть и речи	1	1
126	т д таким	1	1
127	по крайней мере	4	1
128	не может служить	2	1
129	если же мы	1	1
130	того что может	1	1
131	собственном смысле этого	1	1
132	но и за	1	1
