N	3gram	Bakhtin_fo_2	Dialekti
1	и т д	3	15
2	с точки зрения	8	9
3	в том что	3	9
4	это значит что	2	7
5	не может быть	1	6
6	то же время	4	6
7	в то же	4	6
8	для того чтобы	7	5
9	есть прежде всего	1	3
10	лежит в основе	2	3
11	и в этом	3	3
12	же что и	1	3
13	тем более не	1	3
14	равно как и	2	2
15	о том как	3	2
16	как и все	1	2
17	и в то	3	2
18	это учение о	1	2
19	с этой точки	1	2
20	но в то	1	2
21	этой точки зрения	1	2
22	по сравнению с	1	2
23	в свою очередь	1	2
24	не может не	1	1
25	в чем не	1	1
26	что в этом	2	1
27	другой стороны в	1	1
28	и необходимости я	1	1
29	именно на этот	1	1
30	прежде всего в	2	1
31	точки зрения в	1	1
32	и не только	1	1
33	на первый план	2	1
34	кем и неизвестно	1	1
35	только для того	1	1
36	можно говорить о	1	1
37	в отличие от	1	1
38	и та же	2	1
39	можно сказать что	1	1
40	не было бы	2	1
41	хотя и есть	1	1
42	с тем что	1	1
43	до некоторой степени	1	1
44	рано или поздно	1	1
45	в данном случае	1	1
46	она еще не	1	1
47	не только в	5	1
48	и все его	1	1
49	в конце концов	1	1
50	и в сущности	1	1
51	от друга и	1	1
52	и как бы	1	1
53	мы будем говорить	1	1
54	то что было	2	1
55	та же слава	1	1
56	в связи с	7	1
57	в своем существе	1	1
58	без него не	1	1
59	в виду что	1	1
60	но только в	1	1
61	как бы в	1	1
62	а вместе с	1	1
63	но это значит	1	1
64	том что они	1	1
65	его жизни и	1	1
66	в этом случае	2	1
67	связи с этим	2	1
68	одна и та	2	1
69	о том что	1	1
70	и вместе с	1	1
71	а это и	1	1
72	как бы ни	1	1
73	и прежде всего	3	1
74	еще нет и	1	1
75	в себя и	1	1
76	но все же	1	1
77	ни в чем	1	1
78	ни с чем	1	1
79	с другой стороны	1	1
80	друг от друга	2	1
81	это как бы	1	1
82	неизвестно кем и	1	1
83	вот почему в	1	1
84	той или иной	1	1
85	т д он	1	1
