N	3gram	Tiupa_Anal_3	Poddanst
1	в то же	3	7
2	то же время	3	7
3	не только в	1	4
4	в том что	7	4
5	с точки зрения	2	3
6	в сравнении с	2	3
7	с одной стороны	2	3
8	в полной мере	1	2
9	заключается в том	1	2
10	в этом мире	1	1
11	в этом смысле	1	1
12	тот или иной	2	1
13	хотя бы и	1	1
14	же время в	1	1
15	в отличие от	2	1
16	а в качестве	1	1
17	в применении к	1	1
18	между тем в	1	1
19	с тем же	1	1
20	не только как	1	1
21	не в том	1	1
22	во всяком случае	2	1
23	с другой стороны	5	1
24	не может быть	1	1
25	этот спор не	1	1
26	до тех пор	1	1
27	само по себе	1	1
28	и теперь в	1	1
29	именно потому что	1	1
30	в русской культуре	1	1
31	тем более что	1	1
32	в большинстве случаев	1	1
33	можно судить по	1	1
34	в известном смысле	1	1
35	для того чтобы	1	1
36	на наш взгляд	2	1
37	в отдельности и	1	1
